Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine
CGS001_MCF7_144H:EIF4E:2	CGS001_MCF7_96H:EIF4E:2	0.7229	0.6097	0.6084	0.6092
CGS001_PC3_96H:EIF4E:2	CGS001_PC3_144H:EIF4E:2	0.6115	0.3623	0.3384	0.3633
CGS001_MCF7_144H:CTTN:2	CGS001_MCF7_96H:CTTN:2	0.684	0.4708	0.5056	0.4704
CGS001_PC3_96H:AKT1:2	CGS001_PC3_144H:AKT1:2	0.456	-0.0158	-0.1129	-0.0195
CGS001_MCF7_96H:ESR1:2	CGS001_MCF7_144H:ESR1:2	0.7137	0.5177	0.5303	0.5148
CGS001_MCF7_96H:ALDH3B2:2	CGS001_MCF7_144H:ALDH3B2:2	0.6462	0.3737	0.401	0.3752
CGS001_MCF7_144H:ALDH3A2:2	CGS001_MCF7_96H:ALDH3A2:2	0.6472	0.3715	0.3873	0.3741
CGS001_MCF7_96H:FGFR1:2	CGS001_MCF7_144H:FGFR1:2	0.7055	0.6732	0.6284	0.6735
CGS001_MCF7_96H:FGFR3:2	CGS001_MCF7_144H:FGFR3:2	0.6953	0.5015	0.5069	0.5014
CGS001_PC3_144H:FGFR2:2	CGS001_PC3_96H:FGFR2:2	0.4213	-0.2083	-0.2228	-0.2088
CGS001_MCF7_96H:FHL2:2	CGS001_MCF7_144H:FHL2:2	0.6769	0.5231	0.5187	0.5238
CGS001_PC3_96H:PUF60:2	CGS001_PC3_144H:PUF60:2	0.6268	0.4038	0.4095	0.402
CGS001_MCF7_96H:ALDOC:2	CGS001_MCF7_144H:ALDOC:2	0.6043	0.3526	0.3641	0.3526
CGS001_PC3_96H:SPEN:2	CGS001_PC3_144H:SPEN:2	0.5225	0.068	0.0665	0.0682
CGS001_PC3_96H:FLT1:2	CGS001_PC3_144H:FLT1:2	0.455	-0.0187	-0.0487	-0.0209
CGS001_MCF7_96H:SIRT1:2	CGS001_MCF7_144H:SIRT1:2	0.6605	0.4061	0.4285	0.4079
CGS001_PC3_144H:BRD4:2	CGS001_PC3_96H:BRD4:2	0.636	0.5141	0.4831	0.5137
CGS001_MCF7_144H:SUZ12:2	CGS001_MCF7_96H:SUZ12:2	0.7413	0.7149	0.6955	0.7157
CGS001_MCF7_144H:LSM5:2	CGS001_MCF7_96H:LSM5:2	0.7096	0.5801	0.5966	0.5801
CGS001_MCF7_144H:MTOR:2	CGS001_MCF7_96H:MTOR:2	0.6575	0.3704	0.3785	0.3716
CGS001_PC3_96H:MTOR:2	CGS001_PC3_144H:MTOR:2	0.5031	0.061	0.0304	0.0605
CGS001_PC3_96H:FUT2:2	CGS001_PC3_144H:FUT2:2	0.547	0.143	0.124	0.1429
CGS001_MCF7_144H:SPDEF:2	CGS001_MCF7_96H:SPDEF:2	0.6738	0.5357	0.4913	0.5379
CGS001_MCF7_96H:PPP1R14B:2	CGS001_MCF7_144H:PPP1R14B:2	0.771	0.7	0.7031	0.7004
CGS001_PC3_96H:ABL2:2	CGS001_PC3_144H:ABL2:2	0.6125	0.3539	0.3339	0.3543
CGS001_MCF7_96H:STK39:2	CGS001_MCF7_144H:STK39:2	0.7679	0.6457	0.6591	0.6484
CGS001_PC3_144H:NR3C1:2	CGS001_PC3_96H:NR3C1:2	0.5	0.0821	0.0619	0.0822
CGS001_MCF7_96H:SLC25A4:2	CGS001_MCF7_144H:SLC25A4:2	0.6871	0.6242	0.5969	0.6237
CGS001_MCF7_96H:CXCL2:2	CGS001_MCF7_144H:CXCL2:2	0.729	0.5675	0.5863	0.5649
CGS001_MCF7_96H:GSTP1:2	CGS001_MCF7_144H:GSTP1:2	0.6564	0.5025	0.4897	0.5028
CGS001_MCF7_96H:MSH6:2	CGS001_MCF7_144H:MSH6:2	0.7372	0.5865	0.6033	0.5858
CGS001_PC3_96H:MSH6:2	CGS001_PC3_144H:MSH6:2	0.6769	0.4858	0.52	0.4827
CGS001_MCF7_144H:NENF:2	CGS001_MCF7_96H:NENF:2	0.6411	0.4941	0.4401	0.4941
CGS001_PC3_96H:NRBP1:2	CGS001_PC3_144H:NRBP1:2	0.6022	0.3214	0.2827	0.3209
CGS001_MCF7_96H:HSD17B10:2	CGS001_MCF7_144H:HSD17B10:2	0.4918	0.1375	-0.0235	0.1387
CGS001_MCF7_96H:ANXA5:2	CGS001_MCF7_144H:ANXA5:2	0.774	0.7268	0.7215	0.7274
CGS001_PC3_96H:PIK3R4:2	CGS001_PC3_144H:PIK3R4:2	0.5031	0.0267	0.0147	0.0247
