Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine
CGS001_PC3_96H:CASP3:2	CGS001_PC3_144H:CASP3:2	0.5624	0.2303	0.187	0.2307
CGS001_MCF7_144H:CASP9:2	CGS001_MCF7_96H:CASP9:2	0.6217	0.3326	0.3348	0.3344
CGS001_PC3_96H:GPR65:2	CGS001_PC3_144H:GPR65:2	0.592	0.3409	0.2996	0.3423
CGS001_MCF7_144H:AKR7A2:2	CGS001_MCF7_96H:AKR7A2:2	0.6933	0.5862	0.5381	0.587
CGS001_MCF7_144H:RUVBL1:2	CGS001_MCF7_96H:RUVBL1:2	0.6667	0.5229	0.5003	0.5246
CGS001_PC3_96H:RUVBL1:2	CGS001_PC3_144H:RUVBL1:2	0.5532	0.1542	0.1541	0.1532
CGS001_MCF7_144H:B4GALT4:2	CGS001_MCF7_96H:B4GALT4:2	0.7761	0.6985	0.7115	0.7002
CGS001_PC3_144H:B4GALT4:2	CGS001_PC3_96H:B4GALT4:2	0.5808	0.2611	0.2221	0.2589
CGS001_MCF7_96H:CRADD:2	CGS001_MCF7_144H:CRADD:2	0.773	0.7384	0.7329	0.7386
CGS001_PC3_96H:IQGAP1:2	CGS001_PC3_144H:IQGAP1:2	0.5992	0.3007	0.2874	0.295
CGS001_MCF7_96H:EIF2B3:2	CGS001_MCF7_144H:EIF2B3:2	0.6626	0.5103	0.4619	0.5137
CGS001_MCF7_96H:EIF2B2:2	CGS001_MCF7_144H:EIF2B2:2	0.7045	0.6764	0.6309	0.6772
CGS001_PC3_96H:EIF2B2:2	CGS001_PC3_144H:EIF2B2:2	0.545	0.2444	0.1901	0.2434
CGS001_MCF7_96H:EIF2S2:2	CGS001_MCF7_144H:EIF2S2:2	0.6155	0.4575	0.3771	0.4597
CGS001_MCF7_144H:PRPF4B:2	CGS001_MCF7_96H:PRPF4B:2	0.7607	0.7351	0.7174	0.7363
CGS001_MCF7_144H:ATG16L2:2	CGS001_MCF7_96H:ATG16L2:2	0.7505	0.7402	0.7094	0.7405
CGS001_MCF7_144H:ARHGEF2:2	CGS001_MCF7_96H:ARHGEF2:2	0.7106	0.4853	0.5221	0.4865
CGS001_PC3_144H:PTPLA:2	CGS001_PC3_96H:PTPLA:2	0.6227	0.3714	0.3726	0.367
CGS001_MCF7_96H:MAPKAPK2:2	CGS001_MCF7_144H:MAPKAPK2:2	0.7382	0.6163	0.6406	0.6156
CGS001_PC3_96H:SPTLC2:2	CGS001_PC3_144H:SPTLC2:2	0.5491	0.115	0.1148	0.1144
CGS001_PC3_96H:WTAP:2	CGS001_PC3_144H:WTAP:2	0.5808	0.3091	0.2689	0.3085
CGS001_MCF7_144H:IKBKE:2	CGS001_MCF7_96H:IKBKE:2	0.7168	0.5449	0.5698	0.5445
CGS001_PC3_144H:SLK:2	CGS001_PC3_96H:SLK:2	0.455	-0.0584	-0.095	-0.0575
CGS001_MCF7_144H:KEAP1:2	CGS001_MCF7_96H:KEAP1:2	0.6554	0.5813	0.4801	0.5812
CGS001_VCAP_96H:MELK:5	CGS001_VCAP_120H:MELK:5	0.5521	0.206	0.1645	0.2044
CGS001_MCF7_144H:PAN2:2	CGS001_MCF7_96H:PAN2:2	0.7454	0.6398	0.6263	0.6399
CGS001_MCF7_96H:CDC25A:2	CGS001_MCF7_144H:CDC25A:2	0.7219	0.6619	0.6211	0.6622
CGS001_PC3_96H:CDC25A:2	CGS001_PC3_144H:CDC25A:2	0.544	0.2094	0.1749	0.2087
CGS001_PC3_144H:OXSR1:2	CGS001_PC3_96H:OXSR1:2	0.5573	0.1593	0.1713	0.1594
CGS001_MCF7_144H:TNFSF15:2	CGS001_MCF7_96H:TNFSF15:2	0.6943	0.5508	0.5453	0.5511
