Sample1	Sample2	dose1uM-100uM_time6
KTOX002_HPTEC_6H:BRD-A50590638:100	KTOX002_HPTEC_6H:BRD-A50590638:10	0.4051
KTOX002_HPTEC_6H:BRD-A50590638:100	KTOX002_HPTEC_6H:BRD-A50590638:31.62	0.4543
KTOX002_HPTEC_6H:BRD-A50590638:100	KTOX002_HPTEC_6H:BRD-A50590638:3.16	0.4055
KTOX002_HPTEC_6H:BRD-A50590638:10	KTOX002_HPTEC_6H:BRD-A50590638:31.62	0.7451
KTOX002_HPTEC_6H:BRD-A50590638:10	KTOX002_HPTEC_6H:BRD-A50590638:3.16	0.787
KTOX002_HPTEC_6H:BRD-A50590638:31.62	KTOX002_HPTEC_6H:BRD-A50590638:3.16	0.6205
EMU001_THP1_6H:B19	EMU001_THP1_3H:B19	0.6616
EMU001_BJAB_3H:F07	EMU001_BJAB_6H:F07	0.8161
EMU001_BJAB_3H:F07	EMU001_BJAB_6H:F08	0.7652
EMU001_BJAB_3H:F07	EMU001_BJAB_3H:F08	0.7767
EMU001_BJAB_6H:F07	EMU001_BJAB_6H:F08	0.8276
EMU001_BJAB_6H:F07	EMU001_BJAB_3H:F08	0.647
EMU001_BJAB_6H:F08	EMU001_BJAB_3H:F08	0.7991
EMU001_MINO_6H:F07	EMU001_MINO_6H:F08	0.7413
EMU001_MINO_6H:F07	EMU001_MINO_3H:F07	0.827
EMU001_MINO_6H:F07	EMU001_MINO_3H:F08	0.5597
EMU001_MINO_6H:F08	EMU001_MINO_3H:F07	0.5789
EMU001_MINO_6H:F08	EMU001_MINO_3H:F08	0.7036
EMU001_MINO_3H:F07	EMU001_MINO_3H:F08	0.5811
EMU001_THP1_6H:F07	EMU001_THP1_3H:F07	0.7778
EMU001_THP1_6H:F07	EMU001_THP1_6H:F08	0.7508
EMU001_THP1_3H:F07	EMU001_THP1_6H:F08	0.6525
EMU001_TMD8_3H:F08	EMU001_TMD8_6H:F07	0.6956
EMU001_TMD8_3H:F08	EMU001_TMD8_6H:F08	0.6815
EMU001_TMD8_6H:F07	EMU001_TMD8_6H:F08	0.8283
KTOX002_HPTEC_6H:BRD-A58767537:100	KTOX002_HPTEC_6H:BRD-A58767537:10	0.1822
KTOX002_HPTEC_6H:BRD-A58767537:100	KTOX002_HPTEC_6H:BRD-A58767537:31.6	0.3463
KTOX002_HPTEC_6H:BRD-A58767537:10	KTOX002_HPTEC_6H:BRD-A58767537:31.6	0.46
LJP001_SKBR3_6H:BRD-A60245366-001-02-9:2	LJP001_SKBR3_6H:BRD-A60245366-001-02-9:10	0.4957
GMB001_HL60_2H:BRD-A61304759:10	GMB001_HL60_2H:BRD-A61304759:2	0.8909
HOG002_A549_6H:BRD-A68009927-003-02-9:1.11	HOG002_A549_6H:BRD-A68009927-003-02-9:3.33	0.3259
HOG002_A549_6H:BRD-A68009927-003-02-9:1.11	HOG002_A549_6H:BRD-A68009927-003-02-9:10	0.1208
HOG002_A549_6H:BRD-A68009927-003-02-9:3.33	HOG002_A549_6H:BRD-A68009927-003-02-9:10	0.7983
HOG002_MCF7_6H:BRD-A68009927-003-02-9:1.11	HOG002_MCF7_6H:BRD-A68009927-003-02-9:10	0.6833
HOG002_MCF7_6H:BRD-A68009927-003-02-9:1.11	HOG002_MCF7_6H:BRD-A68009927-003-02-9:3.33	0.7812
HOG002_MCF7_6H:BRD-A68009927-003-02-9:10	HOG002_MCF7_6H:BRD-A68009927-003-02-9:3.33	0.7482
ASG003_A549_6H:F17	ASG003_A549_6H:F16	0.5022
ASG003_MCF7_6H:F16	ASG003_MCF7_6H:F17	0.7182
HOG001_A549_6H:BRD-A75409952-001-05-7:3.33	HOG001_A549_6H:BRD-A75409952-001-05-7:10	0.5184
HOG001_A549_6H:BRD-A75409952-001-05-7:3.33	HOG001_A549_6H:BRD-A75409952-001-01-6:3.33	0.3881
HOG001_A549_6H:BRD-A75409952-001-05-7:10	HOG001_A549_6H:BRD-A75409952-001-01-6:3.33	0.4892
HOG002_A549_6H:BRD-A75409952-001-01-6:10	HOG002_A549_6H:BRD-A75409952-001-01-6:3.33	0.7665
AML001_CD34_6H:BRD-A75409952:3.33333	AML001_CD34_6H:BRD-A75409952:10	0.7401
AML001_CD34_6H:BRD-A75409952:3.33333	AML001_CD34_6H:BRD-A75409952:1.11111	0.629
AML001_CD34_6H:BRD-A75409952:10	AML001_CD34_6H:BRD-A75409952:1.11111	0.6061
HOG001_MCF7_6H:BRD-A75409952-001-01-6:1.11	HOG001_MCF7_6H:BRD-A75409952-001-05-7:3.33	0.3691
HOG001_MCF7_6H:BRD-A75409952-001-01-6:1.11	HOG001_MCF7_6H:BRD-A75409952-001-01-6:10	0.6693
HOG001_MCF7_6H:BRD-A75409952-001-05-7:3.33	HOG001_MCF7_6H:BRD-A75409952-001-01-6:10	0.4249
AML001_PC3_6H:BRD-A75409952:10	AML001_PC3_6H:BRD-A75409952:3.33333	0.857
EMU001_BJAB_6H:E08	EMU001_BJAB_3H:E08	0.6055
EMU001_BJAB_6H:E08	EMU001_BJAB_6H:E07	0.6558
EMU001_BJAB_6H:E08	EMU001_BJAB_3H:E07	0.4951
EMU001_BJAB_3H:E08	EMU001_BJAB_6H:E07	0.1856
EMU001_BJAB_3H:E08	EMU001_BJAB_3H:E07	0.1683
EMU001_BJAB_6H:E07	EMU001_BJAB_3H:E07	0.7517
EMU001_THP1_3H:E07	EMU001_THP1_6H:E08	0.2282
EMU001_THP1_3H:E07	EMU001_THP1_3H:E08	0.2169
EMU001_THP1_6H:E08	EMU001_THP1_3H:E08	0.7473
EMU001_TMD8_3H:E08	EMU001_TMD8_3H:E07	0.3922
EMU001_TMD8_3H:E08	EMU001_TMD8_6H:E07	0.3722
EMU001_TMD8_3H:E07	EMU001_TMD8_6H:E07	0.7702
MUC.CP002_MCF7_6H:BRD-A77467113-001-01-8:1.1111	MUC.CP002_MCF7_6H:BRD-A77467113-001-01-8:10	0.2587
HOG003_MCF7_6H:BRD-A79465854-001-01-3:10	HOG003_MCF7_6H:BRD-A79465854-001-01-3:3.33	0.4703
HOG002_A549_6H:BRD-A79768653-001-02-1:10	HOG002_A549_6H:BRD-A79768653-001-02-1:3.33	0.7094
HOG002_A549_6H:BRD-A79768653-001-02-1:10	HOG002_A549_6H:BRD-A79768653-001-02-1:1.11	0.5695
HOG002_A549_6H:BRD-A79768653-001-02-1:3.33	HOG002_A549_6H:BRD-A79768653-001-02-1:1.11	0.7354
KTOX002_HPTEC_6H:BRD-A79768653:31.6	KTOX002_HPTEC_6H:BRD-A79768653:10	0.5007
EMU001_MINO_6H:F01	EMU001_MINO_3H:F01	0.5789
ERG005_VCAP_6H:BRD-A79768653-001-01-3:5	ERG005_VCAP_6H:BRD-A79768653-001-01-3:20	0.2183
AICHI001_THP1_4H:D01	AICHI001_THP1_4H:D02	0.5886
EMU001_THP1_6H:E01	EMU001_THP1_3H:E01	0.4979
HOG001_A549_6H:BRD-A85860691-001-02-2:1.11	HOG001_A549_6H:BRD-A85860691-001-02-2:10	0.1622
HOG001_A549_6H:BRD-A85860691-001-02-2:1.11	HOG001_A549_6H:BRD-A85860691-001-02-2:3.33	0.4489
HOG001_A549_6H:BRD-A85860691-001-02-2:10	HOG001_A549_6H:BRD-A85860691-001-02-2:3.33	0.4346
LJP002_SKBR3_6H:BRD-A87137733-001-01-5:2	LJP002_SKBR3_6H:BRD-A87137733-001-01-5:10	0.5027
CVD001_HUH7_6H:BRD-K01188359-065-10-8:10	CVD001_HUH7_6H:BRD-K01188359-065-10-8:2.5	0.6862
MUC.CP002_MCF7_6H:BRD-K01436366-001-03-2:20	MUC.CP002_MCF7_6H:BRD-K01436366-001-03-2:2.2222	0.7062
HOG003_A549_6H:BRD-K01976263-003-04-5:3.3333	HOG003_A549_6H:BRD-K01976263-003-04-5:10	0.893
HOG003_A549_6H:BRD-K01976263-003-04-5:3.3333	HOG003_A549_6H:BRD-K01976263-003-04-5:1.11	0.8582
HOG003_A549_6H:BRD-K01976263-003-04-5:10	HOG003_A549_6H:BRD-K01976263-003-04-5:1.11	0.7607
MUC.CP005_MCF7_6H:BRD-K02562327-001-01-6:3.3388	MUC.CP005_MCF7_6H:BRD-K02562327-001-01-6:10.0165	0.2105
LJP006_HME1_3H:C01	LJP006_HME1_3H:C02	0.632
ASG003_A549_6H:J04	ASG003_A549_6H:J05	0.7791
CVD001_HEPG2_6H:BRD-K03067624-001-01-5:2.5	CVD001_HEPG2_6H:BRD-K03067624-001-01-5:10	0.8553
ASG003_MCF7_6H:J04	ASG003_MCF7_6H:J05	0.8125
ASG003_U2OS_6H:J05	ASG003_U2OS_6H:J04	0.8069
KMS002_NOMO1_6H:BRD-K03073752-001-02-5:3.33	KMS002_NOMO1_6H:BRD-K03073752-001-02-5:10	0.846
KMS002_NOMO1_6H:BRD-K03073752-001-02-5:3.33	KMS002_NOMO1_6H:BRD-K03073752-001-02-5:1.11	0.4095
KMS002_NOMO1_6H:BRD-K03073752-001-02-5:10	KMS002_NOMO1_6H:BRD-K03073752-001-02-5:1.11	0.2679
HOG001_A549_6H:BRD-K03618428-001-01-3:11.1	HOG001_A549_6H:BRD-K03618428-001-01-3:3.7	0.383
ASG003_MCF7_6H:C04	ASG003_MCF7_6H:C05	0.5348
LJP001_SKBR3_6H:BRD-K04923131-001-10-5:10	LJP001_SKBR3_6H:BRD-K04923131-001-10-5:2	0.6078
HOG003_A549_6H:BRD-K06792661-001-01-9:10	HOG003_A549_6H:BRD-K06792661-001-01-9:1.11	0.8423
HOG003_MCF7_6H:BRD-K06792661-001-01-9:10	HOG003_MCF7_6H:BRD-K06792661-001-01-9:1.11	0.848
CVD001_HEPG2_6H:BRD-K07762753-001-03-6:50	CVD001_HEPG2_6H:BRD-K07762753-001-03-6:12.5	0.3721
CVD001_HUH7_6H:BRD-K07762753-001-03-6:50	CVD001_HUH7_6H:BRD-K07762753-001-03-6:12.5	0.4583
LKCP002_MCF7_6H:N02	LKCP002_MCF7_6H:N01	0.3436
LKCP002_U2OS_6H:N02	LKCP002_U2OS_6H:N01	0.4329
AICHI002_OCILY19_4H:N02	AICHI002_OCILY19_4H:N01	0.7941
REP.A005_HELA_3H:G20	REP.A005_HELA_3H:G19	0.5331
MET001_HME_XH:BRD-K09602097:10:3	MET001_HME_XH:BRD-K09602097:10:0.5	0.3261
MET001_HME_XH:BRD-K09602097:10:3	MET001_HME_XH:BRD-K09602097:10:6	0.3104
MET001_HME_XH:BRD-K09602097:10:0.5	MET001_HME_XH:BRD-K09602097:10:6	0.356
MET001_HMLE_XH:BRD-K09602097:10:6	MET001_HMLE_XH:BRD-K09602097:10:1	0.2748
MET001_HMLE_XH:BRD-K09602097:10:6	MET001_HMLE_XH:BRD-K09602097:10:3	0.3136
MET001_HMLE_XH:BRD-K09602097:10:6	MET001_HMLE_XH:BRD-K09602097:10:0.5	0.1323
MET001_HMLE_XH:BRD-K09602097:10:1	MET001_HMLE_XH:BRD-K09602097:10:3	0.3588
MET001_HMLE_XH:BRD-K09602097:10:1	MET001_HMLE_XH:BRD-K09602097:10:0.5	0.3711
MET001_HMLE_XH:BRD-K09602097:10:3	MET001_HMLE_XH:BRD-K09602097:10:0.5	0.4068
MET001_N8_XH:BRD-K09602097:10:0.5	MET001_N8_XH:BRD-K09602097:10:3	0.5501
CVD001_PHH_6H:BRD-K09701578-001-01-9:9.9406	CVD001_PHH_6H:BRD-K09701578-001-01-9:2.4852	0.2137
LKCP001_U2OS_6H:D13	LKCP001_U2OS_6H:D14	0.291
EMU001_THP1_6H:H01	EMU001_THP1_3H:H01	0.7643
EMU001_TMD8_6H:H01	EMU001_TMD8_3H:H01	0.6314
EMU001_BJAB_6H:O13	EMU001_BJAB_3H:O13	0.5296
EMU001_MINO_6H:O13	EMU001_MINO_3H:O13	0.3522
EMU001_THP1_3H:O13	EMU001_THP1_6H:O13	0.4124
ASG003_MCF7_6H:L23	ASG003_MCF7_6H:L22	0.0441
