Sample1	Sample2	GSE70138-Knockdown_120h
EKW001_SHSY5Y_120H:TRCN0000194861:2	EKW001_SHSY5Y_120H:TRCN0000039948:2	0.1107
EKW001_PC3_120H:TRCN0000039615:2	EKW001_PC3_120H:TRCN0000344499:2	0.0754
EKW001_PC3_120H:TRCN0000003730:2	EKW001_PC3_120H:TRCN0000003732:2	0.1417
EKW001_PC3_120H:TRCN0000003730:2	EKW001_PC3_120H:TRCN0000003729:2	0.414
EKW001_PC3_120H:TRCN0000003730:2	CGS001_PC3_120H:ATXN1:2	0.7969
EKW001_PC3_120H:TRCN0000003732:2	EKW001_PC3_120H:TRCN0000003729:2	0.1362
EKW001_PC3_120H:TRCN0000003732:2	CGS001_PC3_120H:ATXN1:2	0.4854
EKW001_PC3_120H:TRCN0000003729:2	CGS001_PC3_120H:ATXN1:2	0.788
EKW001_SHSY5Y_120H:TRCN0000003732:2	EKW001_SHSY5Y_120H:TRCN0000003729:2	0.2297
EKW001_PC3_120H:TRCN0000061801:2	EKW001_PC3_120H:TRCN0000327919:2	0.0417
EKW001_SHSY5Y_120H:TRCN0000061801:2	EKW001_SHSY5Y_120H:TRCN0000327919:2	0.1778
EKW001_PC3_120H:TRCN0000356325:2	EKW001_PC3_120H:TRCN0000356398:2	0.2288
EKW001_PC3_120H:TRCN0000356325:2	CGS001_PC3_120H:BCL9:2	0.748
EKW001_PC3_120H:TRCN0000356398:2	CGS001_PC3_120H:BCL9:2	0.7139
EKW001_SHSY5Y_120H:TRCN0000356325:2	EKW001_SHSY5Y_120H:TRCN0000356398:2	0.4558
EKW001_PC3_120H:TRCN0000371395:2	EKW001_PC3_120H:TRCN0000058208:2	-0.0663
EKW001_SHSY5Y_120H:TRCN0000371395:2	EKW001_SHSY5Y_120H:TRCN0000058208:2	0.1611
EKW001_PC3_120H:TRCN0000233206:2	EKW001_PC3_120H:TRCN0000019287:2	0.0821
EKW001_PC3_120H:TRCN0000233206:2	EKW001_PC3_120H:TRCN0000019286:2	-0.0266
EKW001_PC3_120H:TRCN0000019287:2	EKW001_PC3_120H:TRCN0000019286:2	-0.0323
EKW001_SHSY5Y_120H:TRCN0000019287:2	EKW001_SHSY5Y_120H:TRCN0000019286:2	0.0915
EKW001_SHSY5Y_120H:TRCN0000019287:2	EKW001_SHSY5Y_120H:TRCN0000233206:2	-0.1168
EKW001_SHSY5Y_120H:TRCN0000019286:2	EKW001_SHSY5Y_120H:TRCN0000233206:2	0.0327
EKW001_PC3_120H:TRCN0000282025:2	EKW001_PC3_120H:TRCN0000275319:2	0.0861
EKW001_PC3_120H:TRCN0000282025:2	EKW001_PC3_120H:TRCN0000275362:2	-0.0015
EKW001_PC3_120H:TRCN0000275319:2	EKW001_PC3_120H:TRCN0000275362:2	0.1339
EKW001_SHSY5Y_120H:TRCN0000275362:2	EKW001_SHSY5Y_120H:TRCN0000275319:2	0.1082
EKW001_PC3_120H:TRCN0000044676:2	EKW001_PC3_120H:TRCN0000044674:2	0.0207
EKW001_PC3_120H:TRCN0000044676:2	EKW001_PC3_120H:TRCN0000044673:2	0.0645
EKW001_PC3_120H:TRCN0000044674:2	EKW001_PC3_120H:TRCN0000044673:2	0.0648
EKW001_SHSY5Y_120H:TRCN0000044676:2	EKW001_SHSY5Y_120H:TRCN0000044674:2	-0.099
EKW001_SHSY5Y_120H:TRCN0000044676:2	EKW001_SHSY5Y_120H:TRCN0000044673:2	-0.3579
EKW001_SHSY5Y_120H:TRCN0000044674:2	EKW001_SHSY5Y_120H:TRCN0000044673:2	0.2239
EKW001_PC3_120H:TRCN0000303773:2	EKW001_PC3_120H:TRCN0000299931:2	0.1328
EKW001_PC3_120H:TRCN0000303773:2	EKW001_PC3_120H:TRCN0000303774:2	0.319
EKW001_PC3_120H:TRCN0000303773:2	CGS001_PC3_120H:CDC42:2	0.6927
EKW001_PC3_120H:TRCN0000299931:2	EKW001_PC3_120H:TRCN0000303774:2	0.2403
EKW001_PC3_120H:TRCN0000299931:2	CGS001_PC3_120H:CDC42:2	0.4931
EKW001_PC3_120H:TRCN0000303774:2	CGS001_PC3_120H:CDC42:2	0.8549
EKW001_SHSY5Y_120H:TRCN0000303774:2	EKW001_SHSY5Y_120H:TRCN0000303773:2	0.0961
EKW001_SHSY5Y_120H:TRCN0000303774:2	EKW001_SHSY5Y_120H:TRCN0000299931:2	0.1498
EKW001_SHSY5Y_120H:TRCN0000303773:2	EKW001_SHSY5Y_120H:TRCN0000299931:2	0.0315
EKW001_PC3_120H:TRCN0000355700:2	EKW001_PC3_120H:TRCN0000368296:2	-0.1309
EKW001_PC3_120H:TRCN0000355700:2	EKW001_PC3_120H:TRCN0000368312:2	0.012
EKW001_PC3_120H:TRCN0000368296:2	EKW001_PC3_120H:TRCN0000368312:2	0.1488
EKW001_SHSY5Y_120H:TRCN0000368296:2	EKW001_SHSY5Y_120H:TRCN0000368312:2	0.3764
EKW001_SHSY5Y_120H:TRCN0000368296:2	EKW001_SHSY5Y_120H:TRCN0000355700:2	-0.209
EKW001_SHSY5Y_120H:TRCN0000368312:2	EKW001_SHSY5Y_120H:TRCN0000355700:2	-0.1643
EKW001_PC3_120H:TRCN0000319289:2	EKW001_PC3_120H:TRCN0000021360:2	0.0993
EKW001_PC3_120H:TRCN0000319289:2	EKW001_PC3_120H:TRCN0000021363:2	0.3632
EKW001_PC3_120H:TRCN0000319289:2	CGS001_PC3_120H:CHD4:2	0.8053
EKW001_PC3_120H:TRCN0000021360:2	EKW001_PC3_120H:TRCN0000021363:2	0.1541
EKW001_PC3_120H:TRCN0000021360:2	CGS001_PC3_120H:CHD4:2	0.3144
EKW001_PC3_120H:TRCN0000021363:2	CGS001_PC3_120H:CHD4:2	0.8232
EKW001_SHSY5Y_120H:TRCN0000021363:2	EKW001_SHSY5Y_120H:TRCN0000319289:2	0.5877
EKW001_SHSY5Y_120H:TRCN0000021363:2	EKW001_SHSY5Y_120H:TRCN0000021360:2	0.1455
EKW001_SHSY5Y_120H:TRCN0000319289:2	EKW001_SHSY5Y_120H:TRCN0000021360:2	0.1286
EKW001_PC3_120H:TRCN0000005994:2	EKW001_PC3_120H:TRCN0000005993:2	-0.024
EKW001_PC3_120H:TRCN0000005994:2	EKW001_PC3_120H:TRCN0000005995:2	0.2071
EKW001_PC3_120H:TRCN0000005993:2	EKW001_PC3_120H:TRCN0000005995:2	-0.0535
EKW001_SHSY5Y_120H:TRCN0000005995:2	EKW001_SHSY5Y_120H:TRCN0000005994:2	0.3379
EKW001_PC3_120H:TRCN0000013742:2	EKW001_PC3_120H:TRCN0000013738:2	0.2059
EKW001_SHSY5Y_120H:TRCN0000013738:2	EKW001_SHSY5Y_120H:TRCN0000013742:2	0.0715
EKW001_SHSY5Y_120H:TRCN0000013738:2	EKW001_SHSY5Y_120H:TRCN0000273905:2	0.3676
EKW001_SHSY5Y_120H:TRCN0000013742:2	EKW001_SHSY5Y_120H:TRCN0000273905:2	0.1416
EKW001_PC3_120H:TRCN0000314921:2	EKW001_PC3_120H:TRCN0000314991:2	0.0635
EKW001_SHSY5Y_120H:TRCN0000314991:2	EKW001_SHSY5Y_120H:TRCN0000314990:2	0.1954
EKW001_SHSY5Y_120H:TRCN0000314991:2	EKW001_SHSY5Y_120H:TRCN0000314921:2	-0.0954
EKW001_SHSY5Y_120H:TRCN0000314990:2	EKW001_SHSY5Y_120H:TRCN0000314921:2	-0.2082
EKW001_PC3_120H:TRCN0000295865:2	EKW001_PC3_120H:TRCN0000295864:2	0.0316
EKW001_PC3_120H:TRCN0000295865:2	EKW001_PC3_120H:TRCN0000121293:2	0.1196
EKW001_PC3_120H:TRCN0000295864:2	EKW001_PC3_120H:TRCN0000121293:2	0.0934
EKW001_SHSY5Y_120H:TRCN0000121293:2	EKW001_SHSY5Y_120H:TRCN0000295865:2	0.042
EKW001_SHSY5Y_120H:TRCN0000121293:2	EKW001_SHSY5Y_120H:TRCN0000295864:2	0.0745
EKW001_SHSY5Y_120H:TRCN0000295865:2	EKW001_SHSY5Y_120H:TRCN0000295864:2	0.0665
EKW001_PC3_120H:TRCN0000118998:2	EKW001_PC3_120H:TRCN0000118999:2	0.0922
EKW001_PC3_120H:TRCN0000118998:2	EKW001_PC3_120H:TRCN0000119000:2	0.0198
EKW001_PC3_120H:TRCN0000118999:2	EKW001_PC3_120H:TRCN0000119000:2	0.1996
EKW001_SHSY5Y_120H:TRCN0000118999:2	EKW001_SHSY5Y_120H:TRCN0000118998:2	0.059
EKW001_PC3_120H:TRCN0000137860:2	EKW001_PC3_120H:TRCN0000134516:2	0.0109
EKW001_PC3_120H:TRCN0000137860:2	EKW001_PC3_120H:TRCN0000137219:2	0.1028
EKW001_PC3_120H:TRCN0000134516:2	EKW001_PC3_120H:TRCN0000137219:2	0.1185
EKW001_SHSY5Y_120H:TRCN0000137860:2	EKW001_SHSY5Y_120H:TRCN0000137219:2	0.0672
EKW001_SHSY5Y_120H:TRCN0000137860:2	EKW001_SHSY5Y_120H:TRCN0000134516:2	0.2255
EKW001_SHSY5Y_120H:TRCN0000137219:2	EKW001_SHSY5Y_120H:TRCN0000134516:2	0.007
EKW001_PC3_120H:TRCN0000033386:2	EKW001_PC3_120H:TRCN0000033388:2	0.0919
EKW001_PC3_120H:TRCN0000033386:2	EKW001_PC3_120H:TRCN0000296460:2	0.0006
EKW001_PC3_120H:TRCN0000033388:2	EKW001_PC3_120H:TRCN0000296460:2	0.0457
EKW001_SHSY5Y_120H:TRCN0000033388:2	EKW001_SHSY5Y_120H:TRCN0000296460:2	0.2013
EKW001_PC3_120H:TRCN0000035756:2	EKW001_PC3_120H:TRCN0000035754:2	0.0729
EKW001_PC3_120H:TRCN0000035756:2	EKW001_PC3_120H:TRCN0000035757:2	0.1494
EKW001_PC3_120H:TRCN0000035754:2	EKW001_PC3_120H:TRCN0000035757:2	0.127
EKW001_PC3_120H:TRCN0000053578:2	EKW001_PC3_120H:TRCN0000053579:2	-0.0624
EKW001_PC3_120H:TRCN0000053578:2	EKW001_PC3_120H:TRCN0000053580:2	-0.0488
EKW001_PC3_120H:TRCN0000053579:2	EKW001_PC3_120H:TRCN0000053580:2	0.1422
EKW001_SHSY5Y_120H:TRCN0000053580:2	EKW001_SHSY5Y_120H:TRCN0000053579:2	0.0929
EKW001_SHSY5Y_120H:TRCN0000053580:2	EKW001_SHSY5Y_120H:TRCN0000053578:2	0.1439
EKW001_SHSY5Y_120H:TRCN0000053579:2	EKW001_SHSY5Y_120H:TRCN0000053578:2	-0.0215
EKW001_PC3_120H:TRCN0000300447:2	EKW001_PC3_120H:TRCN0000300446:2	0.1246
EKW001_PC3_120H:TRCN0000300447:2	EKW001_PC3_120H:TRCN0000033343:2	0.1121
EKW001_PC3_120H:TRCN0000300446:2	EKW001_PC3_120H:TRCN0000033343:2	-0.0213
EKW001_SHSY5Y_120H:TRCN0000300447:2	EKW001_SHSY5Y_120H:TRCN0000300446:2	0.1332
EKW001_SHSY5Y_120H:TRCN0000300447:2	EKW001_SHSY5Y_120H:TRCN0000033343:2	0.1373
EKW001_SHSY5Y_120H:TRCN0000300446:2	EKW001_SHSY5Y_120H:TRCN0000033343:2	0.0093
EKW001_PC3_120H:TRCN0000040076:2	EKW001_PC3_120H:TRCN0000018365:2	0.175
EKW001_PC3_120H:TRCN0000040076:2	EKW001_PC3_120H:TRCN0000010475:2	0.1634
EKW001_PC3_120H:TRCN0000018365:2	EKW001_PC3_120H:TRCN0000010475:2	0.1149
EKW001_SHSY5Y_120H:TRCN0000018365:2	EKW001_SHSY5Y_120H:TRCN0000010475:2	-0.1372
EKW001_SHSY5Y_120H:TRCN0000018365:2	EKW001_SHSY5Y_120H:TRCN0000040076:2	0.0198
EKW001_SHSY5Y_120H:TRCN0000010475:2	EKW001_SHSY5Y_120H:TRCN0000040076:2	-0.0253
EKW001_PC3_120H:TRCN0000118340:2	EKW001_PC3_120H:TRCN0000118338:2	0.5878
EKW001_PC3_120H:TRCN0000118340:2	EKW001_PC3_120H:TRCN0000118341:2	0.066
EKW001_PC3_120H:TRCN0000118340:2	CGS001_PC3_120H:FBXL4:2	0.9139
EKW001_PC3_120H:TRCN0000118338:2	EKW001_PC3_120H:TRCN0000118341:2	0.1108
EKW001_PC3_120H:TRCN0000118338:2	CGS001_PC3_120H:FBXL4:2	0.8608
EKW001_PC3_120H:TRCN0000118341:2	CGS001_PC3_120H:FBXL4:2	0.1651
EKW001_SHSY5Y_120H:TRCN0000118338:2	EKW001_SHSY5Y_120H:TRCN0000118341:2	-0.0966
EKW001_SHSY5Y_120H:TRCN0000118338:2	EKW001_SHSY5Y_120H:TRCN0000118340:2	0.4982
EKW001_SHSY5Y_120H:TRCN0000118341:2	EKW001_SHSY5Y_120H:TRCN0000118340:2	-0.1141
EKW001_PC3_120H:TRCN0000059758:2	EKW001_PC3_120H:TRCN0000298271:2	0.1115
EKW001_PC3_120H:TRCN0000059758:2	EKW001_PC3_120H:TRCN0000059760:2	-0.0197
EKW001_PC3_120H:TRCN0000298271:2	EKW001_PC3_120H:TRCN0000059760:2	0.1143
EKW001_SHSY5Y_120H:TRCN0000059758:2	EKW001_SHSY5Y_120H:TRCN0000059760:2	-0.1123
EKW001_SHSY5Y_120H:TRCN0000059758:2	EKW001_SHSY5Y_120H:TRCN0000298271:2	-0.0391
EKW001_SHSY5Y_120H:TRCN0000059760:2	EKW001_SHSY5Y_120H:TRCN0000298271:2	0.0744
EKW001_PC3_120H:TRCN0000039824:2	EKW001_PC3_120H:TRCN0000010450:2	0.1675
EKW001_PC3_120H:TRCN0000039824:2	EKW001_PC3_120H:TRCN0000288705:2	0.0848
EKW001_PC3_120H:TRCN0000039824:2	CGS001_PC3_120H:FUS:2	0.5549
EKW001_PC3_120H:TRCN0000010450:2	EKW001_PC3_120H:TRCN0000288705:2	0.2367
EKW001_PC3_120H:TRCN0000010450:2	CGS001_PC3_120H:FUS:2	0.786
EKW001_PC3_120H:TRCN0000288705:2	CGS001_PC3_120H:FUS:2	0.6374
EKW001_SHSY5Y_120H:TRCN0000010450:2	EKW001_SHSY5Y_120H:TRCN0000288705:2	0.3622
EKW001_SHSY5Y_120H:TRCN0000010450:2	EKW001_SHSY5Y_120H:TRCN0000039824:2	0.0301
EKW001_SHSY5Y_120H:TRCN0000288705:2	EKW001_SHSY5Y_120H:TRCN0000039824:2	-0.1246
EKW001_PC3_120H:TRCN0000039565:2	EKW001_PC3_120H:TRCN0000039999:2	-0.0149
EKW001_PC3_120H:TRCN0000039565:2	EKW001_PC3_120H:TRCN0000040001:2	0.1153
EKW001_PC3_120H:TRCN0000039999:2	EKW001_PC3_120H:TRCN0000040001:2	0.0278
EKW001_SHSY5Y_120H:TRCN0000039565:2	EKW001_SHSY5Y_120H:TRCN0000040001:2	0.236
EKW001_SHSY5Y_120H:TRCN0000039565:2	EKW001_SHSY5Y_120H:TRCN0000039999:2	-0.1611
EKW001_SHSY5Y_120H:TRCN0000040001:2	EKW001_SHSY5Y_120H:TRCN0000039999:2	-0.018
EKW001_PC3_120H:TRCN0000364319:2	EKW001_PC3_120H:TRCN0000368904:2	-0.148
EKW001_PC3_120H:TRCN0000364319:2	EKW001_PC3_120H:TRCN0000073281:2	-0.2033
EKW001_PC3_120H:TRCN0000368904:2	EKW001_PC3_120H:TRCN0000073281:2	0.1848
EKW001_PC3_120H:TRCN0000318656:2	EKW001_PC3_120H:TRCN0000004814:2	-0.0418
EKW001_PC3_120H:TRCN0000318656:2	EKW001_PC3_120H:TRCN0000349638:2	0.14
EKW001_PC3_120H:TRCN0000004814:2	EKW001_PC3_120H:TRCN0000349638:2	-0.0018
EKW001_SHSY5Y_120H:TRCN0000349638:2	EKW001_SHSY5Y_120H:TRCN0000004814:2	-0.3801
EKW001_SHSY5Y_120H:TRCN0000349638:2	EKW001_SHSY5Y_120H:TRCN0000318656:2	0.169
EKW001_SHSY5Y_120H:TRCN0000004814:2	EKW001_SHSY5Y_120H:TRCN0000318656:2	-0.0181
EKW001_PC3_120H:TRCN0000195664:2	EKW001_PC3_120H:TRCN0000004860:2	0.0372
EKW001_PC3_120H:TRCN0000195664:2	EKW001_PC3_120H:TRCN0000195578:2	0.0135
EKW001_PC3_120H:TRCN0000004860:2	EKW001_PC3_120H:TRCN0000195578:2	0.2428
EKW001_SHSY5Y_120H:TRCN0000004860:2	EKW001_SHSY5Y_120H:TRCN0000195578:2	0.2025
EKW001_SHSY5Y_120H:TRCN0000004860:2	EKW001_SHSY5Y_120H:TRCN0000195664:2	0.1478
EKW001_SHSY5Y_120H:TRCN0000195578:2	EKW001_SHSY5Y_120H:TRCN0000195664:2	0.4785
EKW001_PC3_120H:TRCN0000199149:2	EKW001_PC3_120H:TRCN0000197158:2	-0.0767
EKW001_PC3_120H:TRCN0000199149:2	EKW001_PC3_120H:TRCN0000017753:2	0.0059
EKW001_PC3_120H:TRCN0000197158:2	EKW001_PC3_120H:TRCN0000017753:2	0.082
EKW001_SHSY5Y_120H:TRCN0000199149:2	EKW001_SHSY5Y_120H:TRCN0000017753:2	-0.0891
EKW001_SHSY5Y_120H:TRCN0000199149:2	EKW001_SHSY5Y_120H:TRCN0000197158:2	-0.0731
EKW001_SHSY5Y_120H:TRCN0000017753:2	EKW001_SHSY5Y_120H:TRCN0000197158:2	0.408
EKW001_PC3_120H:TRCN0000004819:2	EKW001_PC3_120H:TRCN0000195198:2	-0.0401
EKW001_PC3_120H:TRCN0000004819:2	EKW001_PC3_120H:TRCN0000004823:2	0.2087
EKW001_PC3_120H:TRCN0000195198:2	EKW001_PC3_120H:TRCN0000004823:2	0.1445
EKW001_SHSY5Y_120H:TRCN0000195198:2	EKW001_SHSY5Y_120H:TRCN0000004823:2	0.3109
EKW001_SHSY5Y_120H:TRCN0000195198:2	EKW001_SHSY5Y_120H:TRCN0000004819:2	0.1854
EKW001_SHSY5Y_120H:TRCN0000004823:2	EKW001_SHSY5Y_120H:TRCN0000004819:2	0.2045
EKW001_PC3_120H:TRCN0000199964:2	EKW001_PC3_120H:TRCN0000004828:2	-0.0045
EKW001_PC3_120H:TRCN0000314667:2	EKW001_PC3_120H:TRCN0000314735:2	-0.1226
EKW001_PC3_120H:TRCN0000314667:2	EKW001_PC3_120H:TRCN0000314665:2	-0.1593
EKW001_PC3_120H:TRCN0000314735:2	EKW001_PC3_120H:TRCN0000314665:2	0.1736
EKW001_SHSY5Y_120H:TRCN0000314735:2	EKW001_SHSY5Y_120H:TRCN0000314665:2	0.0585
EKW001_PC3_120H:TRCN0000004836:2	EKW001_PC3_120H:TRCN0000004835:2	0.0512
EKW001_PC3_120H:TRCN0000004836:2	EKW001_PC3_120H:TRCN0000004838:2	0.0377
EKW001_PC3_120H:TRCN0000004835:2	EKW001_PC3_120H:TRCN0000004838:2	0.144
EKW001_SHSY5Y_120H:TRCN0000004836:2	EKW001_SHSY5Y_120H:TRCN0000004838:2	-0.1005
EKW001_SHSY5Y_120H:TRCN0000004836:2	EKW001_SHSY5Y_120H:TRCN0000004835:2	0.1189
EKW001_SHSY5Y_120H:TRCN0000004838:2	EKW001_SHSY5Y_120H:TRCN0000004835:2	0.1587
EKW001_PC3_120H:TRCN0000314976:2	EKW001_PC3_120H:TRCN0000004840:2	-0.0587
EKW001_SHSY5Y_120H:TRCN0000004840:2	EKW001_SHSY5Y_120H:TRCN0000314976:2	-0.0078
EKW001_PC3_120H:TRCN0000195442:2	EKW001_PC3_120H:TRCN0000255686:2	0.1482
EKW001_PC3_120H:TRCN0000195442:2	EKW001_PC3_120H:TRCN0000255687:2	0.0745
EKW001_PC3_120H:TRCN0000255686:2	EKW001_PC3_120H:TRCN0000255687:2	0.0549
EKW001_SHSY5Y_120H:TRCN0000255686:2	EKW001_SHSY5Y_120H:TRCN0000255687:2	0.0549
EKW001_SHSY5Y_120H:TRCN0000255686:2	EKW001_SHSY5Y_120H:TRCN0000195442:2	-0.0917
EKW001_SHSY5Y_120H:TRCN0000255687:2	EKW001_SHSY5Y_120H:TRCN0000195442:2	0.0647
EKW001_PC3_120H:TRCN0000314872:2	EKW001_PC3_120H:TRCN0000314871:2	-0.1084
EKW001_PC3_120H:TRCN0000314872:2	EKW001_PC3_120H:TRCN0000350469:2	0.0154
EKW001_PC3_120H:TRCN0000314871:2	EKW001_PC3_120H:TRCN0000350469:2	0.0842
EKW001_SHSY5Y_120H:TRCN0000350469:2	EKW001_SHSY5Y_120H:TRCN0000314872:2	0.2203
EKW001_SHSY5Y_120H:TRCN0000350469:2	EKW001_SHSY5Y_120H:TRCN0000314871:2	0.1605
EKW001_SHSY5Y_120H:TRCN0000314872:2	EKW001_SHSY5Y_120H:TRCN0000314871:2	0.1564
EKW001_PC3_120H:TRCN0000277764:2	EKW001_PC3_120H:TRCN0000277763:2	0.0953
EKW001_PC3_120H:TRCN0000277764:2	EKW001_PC3_120H:TRCN0000195059:2	0.0399
EKW001_PC3_120H:TRCN0000277763:2	EKW001_PC3_120H:TRCN0000195059:2	0.1671
EKW001_SHSY5Y_120H:TRCN0000277763:2	EKW001_SHSY5Y_120H:TRCN0000277764:2	0.161
EKW001_PC3_120H:TRCN0000378251:2	EKW001_PC3_120H:TRCN0000378358:2	-0.0339
EKW001_PC3_120H:TRCN0000378251:2	EKW001_PC3_120H:TRCN0000357445:2	-0.0232
EKW001_PC3_120H:TRCN0000378358:2	EKW001_PC3_120H:TRCN0000357445:2	0.144
EKW001_SHSY5Y_120H:TRCN0000378251:2	EKW001_SHSY5Y_120H:TRCN0000378358:2	-0.0488
EKW001_SHSY5Y_120H:TRCN0000378251:2	EKW001_SHSY5Y_120H:TRCN0000357445:2	0.1988
EKW001_SHSY5Y_120H:TRCN0000378358:2	EKW001_SHSY5Y_120H:TRCN0000357445:2	-0.0292
EKW001_PC3_120H:TRCN0000044086:2	EKW001_PC3_120H:TRCN0000044085:2	0.1655
EKW001_PC3_120H:TRCN0000044086:2	EKW001_PC3_120H:TRCN0000044087:2	-0.0165
EKW001_PC3_120H:TRCN0000044085:2	EKW001_PC3_120H:TRCN0000044087:2	0.0367
EKW001_SHSY5Y_120H:TRCN0000044086:2	EKW001_SHSY5Y_120H:TRCN0000044087:2	-0.0568
EKW001_SHSY5Y_120H:TRCN0000044086:2	EKW001_SHSY5Y_120H:TRCN0000044085:2	0.131
EKW001_SHSY5Y_120H:TRCN0000044087:2	EKW001_SHSY5Y_120H:TRCN0000044085:2	0.1038
EKW001_PC3_120H:TRCN0000046068:2	EKW001_PC3_120H:TRCN0000327932:2	0.1828
EKW001_PC3_120H:TRCN0000046068:2	EKW001_PC3_120H:TRCN0000327930:2	0.1423
EKW001_PC3_120H:TRCN0000327932:2	EKW001_PC3_120H:TRCN0000327930:2	0.1024
EKW001_SHSY5Y_120H:TRCN0000327930:2	EKW001_SHSY5Y_120H:TRCN0000046068:2	0.1041
EKW001_SHSY5Y_120H:TRCN0000327930:2	EKW001_SHSY5Y_120H:TRCN0000327932:2	0.2418
EKW001_SHSY5Y_120H:TRCN0000046068:2	EKW001_SHSY5Y_120H:TRCN0000327932:2	0.1237
EKW001_PC3_120H:TRCN0000234910:2	EKW001_PC3_120H:TRCN0000234913:2	0.0467
EKW001_PC3_120H:TRCN0000234910:2	EKW001_PC3_120H:TRCN0000013495:2	0.0193
