Sample1	Sample2	GSE70138-Knockdown_120h
EKW001_PC3_120H:TRCN0000045913:2	EKW001_PC3_120H:TRCN0000045915:2	0.1374
EKW001_PC3_120H:TRCN0000045913:2	EKW001_PC3_120H:TRCN0000045917:2	0.1576
EKW001_PC3_120H:TRCN0000045915:2	EKW001_PC3_120H:TRCN0000045917:2	0.0969
EKW001_SHSY5Y_120H:TRCN0000045915:2	EKW001_SHSY5Y_120H:TRCN0000045917:2	-0.0169
EKW001_SHSY5Y_120H:TRCN0000045915:2	EKW001_SHSY5Y_120H:TRCN0000045913:2	0.3964
EKW001_SHSY5Y_120H:TRCN0000045917:2	EKW001_SHSY5Y_120H:TRCN0000045913:2	-0.143
EKW001_PC3_120H:TRCN0000276220:2	EKW001_PC3_120H:TRCN0000276219:2	0.1552
EKW001_PC3_120H:TRCN0000276220:2	EKW001_PC3_120H:TRCN0000349687:2	0.1715
EKW001_PC3_120H:TRCN0000276220:2	CGS001_PC3_120H:ACTB:2	0.4791
EKW001_PC3_120H:TRCN0000276219:2	EKW001_PC3_120H:TRCN0000349687:2	0.2845
EKW001_PC3_120H:TRCN0000276219:2	CGS001_PC3_120H:ACTB:2	0.8332
EKW001_PC3_120H:TRCN0000349687:2	CGS001_PC3_120H:ACTB:2	0.6863
EKW001_SHSY5Y_120H:TRCN0000276220:2	EKW001_SHSY5Y_120H:TRCN0000276219:2	0.0951
EKW001_SHSY5Y_120H:TRCN0000276220:2	EKW001_SHSY5Y_120H:TRCN0000349687:2	0.1011
EKW001_SHSY5Y_120H:TRCN0000276219:2	EKW001_SHSY5Y_120H:TRCN0000349687:2	0.5389
EKW001_PC3_120H:TRCN0000295915:2	EKW001_PC3_120H:TRCN0000288787:2	0.0612
EKW001_PC3_120H:TRCN0000295915:2	EKW001_PC3_120H:TRCN0000295914:2	0.1135
EKW001_PC3_120H:TRCN0000288787:2	EKW001_PC3_120H:TRCN0000295914:2	0.1101
EKW001_SHSY5Y_120H:TRCN0000295914:2	EKW001_SHSY5Y_120H:TRCN0000295915:2	0.0695
EKW001_SHSY5Y_120H:TRCN0000295914:2	EKW001_SHSY5Y_120H:TRCN0000288787:2	0.0737
EKW001_SHSY5Y_120H:TRCN0000295915:2	EKW001_SHSY5Y_120H:TRCN0000288787:2	0.1459
EKW001_PC3_120H:TRCN0000237828:2	EKW001_PC3_120H:TRCN0000244294:2	0.4365
EKW001_PC3_120H:TRCN0000237828:2	EKW001_PC3_120H:TRCN0000237830:2	0.22
EKW001_PC3_120H:TRCN0000237828:2	CGS001_PC3_120H:APC:2	0.8233
EKW001_PC3_120H:TRCN0000244294:2	EKW001_PC3_120H:TRCN0000237830:2	0.1733
EKW001_PC3_120H:TRCN0000244294:2	CGS001_PC3_120H:APC:2	0.8003
EKW001_PC3_120H:TRCN0000237830:2	CGS001_PC3_120H:APC:2	0.5015
EKW001_SHSY5Y_120H:TRCN0000244294:2	EKW001_SHSY5Y_120H:TRCN0000237830:2	-0.0574
EKW001_SHSY5Y_120H:TRCN0000244294:2	EKW001_SHSY5Y_120H:TRCN0000237828:2	0.1935
EKW001_SHSY5Y_120H:TRCN0000237830:2	EKW001_SHSY5Y_120H:TRCN0000237828:2	0.1384
EKW001_PC3_120H:TRCN0000291125:2	EKW001_PC3_120H:TRCN0000118905:2	0.0896
EKW001_PC3_120H:TRCN0000291125:2	EKW001_PC3_120H:TRCN0000296796:2	-0.0387
EKW001_PC3_120H:TRCN0000118905:2	EKW001_PC3_120H:TRCN0000296796:2	0.0643
EKW001_SHSY5Y_120H:TRCN0000291125:2	EKW001_SHSY5Y_120H:TRCN0000118905:2	-0.0376
EKW001_SHSY5Y_120H:TRCN0000291125:2	EKW001_SHSY5Y_120H:TRCN0000296796:2	0.1011
EKW001_SHSY5Y_120H:TRCN0000118905:2	EKW001_SHSY5Y_120H:TRCN0000296796:2	0.1709
EKW001_PC3_120H:TRCN0000039948:2	EKW001_PC3_120H:TRCN0000194861:2	0.1023
EKW001_PC3_120H:TRCN0000039948:2	EKW001_PC3_120H:TRCN0000195474:2	-0.0377
EKW001_PC3_120H:TRCN0000194861:2	EKW001_PC3_120H:TRCN0000195474:2	0.0256
EKW001_SHSY5Y_120H:TRCN0000195474:2	EKW001_SHSY5Y_120H:TRCN0000194861:2	0.1574
EKW001_SHSY5Y_120H:TRCN0000195474:2	EKW001_SHSY5Y_120H:TRCN0000039948:2	0.1175
