Sample1	Sample2	GSE70138-Knockdown_96h
TA.KD010_A549_96H:TRCN0000010163:1	TA.KD010_A549_96H:TRCN0000221552:1	-0.0068
TA.KD010_A549_96H:TRCN0000010163:1	CGS001_A549_96H:AKT1:1	0.3223
TA.KD010_A549_96H:TRCN0000288786:1	TA.KD010_A549_96H:TRCN0000295914:1	0.1371
TA.KD010_A549_96H:TRCN0000288786:1	TA.KD010_A549_96H:TRCN0000039795:1	0.0955
TA.KD010_A549_96H:TRCN0000288786:1	TA.KD010_A549_96H:TRCN0000221552:1	0.0582
TA.KD010_A549_96H:TRCN0000288786:1	CGS001_A549_96H:AKT1:1	0.1451
TA.KD010_A549_96H:TRCN0000295914:1	TA.KD010_A549_96H:TRCN0000039795:1	0.0674
TA.KD010_A549_96H:TRCN0000295914:1	TA.KD010_A549_96H:TRCN0000221552:1	0.1076
TA.KD010_A549_96H:TRCN0000295914:1	CGS001_A549_96H:AKT1:1	0.2414
TA.KD010_A549_96H:TRCN0000039795:1	TA.KD010_A549_96H:TRCN0000221552:1	0.0724
TA.KD010_A549_96H:TRCN0000039795:1	CGS001_A549_96H:AKT1:1	0.1091
TA.KD010_A549_96H:TRCN0000221552:1	CGS001_A549_96H:AKT1:1	0.3157
MUC.KD003_P2X2B2_96H:TRCN0000039797:3	MUC.KD003_P2X2B2_96H:TRCN0000010174:3	0.089
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000426979:1	-0.0209
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000199017:1	-0.03
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000418856:1	-0.0857
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000431959:1	0.0954
TA.KD010_A549_96H:TRCN0000422093:1	TA.KD010_A549_96H:TRCN0000432650:1	0.1173
TA.KD010_A549_96H:TRCN0000426979:1	TA.KD010_A549_96H:TRCN0000199017:1	0.1899
TA.KD010_A549_96H:TRCN0000426979:1	TA.KD010_A549_96H:TRCN0000418856:1	0.1432
TA.KD010_A549_96H:TRCN0000426979:1	TA.KD010_A549_96H:TRCN0000431959:1	0.2409
TA.KD010_A549_96H:TRCN0000426979:1	TA.KD010_A549_96H:TRCN0000432650:1	0.0403
TA.KD010_A549_96H:TRCN0000199017:1	TA.KD010_A549_96H:TRCN0000418856:1	0.2477
TA.KD010_A549_96H:TRCN0000199017:1	TA.KD010_A549_96H:TRCN0000431959:1	0.0638
TA.KD010_A549_96H:TRCN0000199017:1	TA.KD010_A549_96H:TRCN0000432650:1	0.0532
TA.KD010_A549_96H:TRCN0000418856:1	TA.KD010_A549_96H:TRCN0000431959:1	0.0558
TA.KD010_A549_96H:TRCN0000418856:1	TA.KD010_A549_96H:TRCN0000432650:1	0.0129
TA.KD010_A549_96H:TRCN0000431959:1	TA.KD010_A549_96H:TRCN0000432650:1	-0.0077
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000062546:1	0.2136
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000425611:1	0.0214
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000062545:1	-0.1042
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000062547:1	0.0021
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000062544:1	0.0174
TA.KD009_A549_96H:TRCN0000062543:1	TA.KD009_A549_96H:TRCN0000418097:1	0.0617
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000425611:1	-0.0955
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000062545:1	-0.0463
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000062547:1	0.1764
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000062544:1	0.1475
TA.KD009_A549_96H:TRCN0000062546:1	TA.KD009_A549_96H:TRCN0000418097:1	0.0047
TA.KD009_A549_96H:TRCN0000425611:1	TA.KD009_A549_96H:TRCN0000062545:1	0.1413
TA.KD009_A549_96H:TRCN0000425611:1	TA.KD009_A549_96H:TRCN0000062547:1	-0.1196
