Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine_diffshRNA
TA.KD009_A549_96H:TRCN0000135665:1	TA.KD009_A549_96H:TRCN0000137009:1	0.5849	0.1262	0.1731	0.1315
TA.KD009_A549_96H:TRCN0000135665:1	TA.KD009_A549_96H:TRCN0000137190:1	0.5031	-0.0019	-0.0242	0.0028
TA.KD009_A549_96H:TRCN0000135665:1	TA.KD009_A549_96H:TRCN0000137410:1	0.501	0.0362	0.0086	0.0423
TA.KD009_A549_96H:TRCN0000136829:1	TA.KD009_A549_96H:TRCN0000136289:1	0.4816	0.027	-0.026	0.031
TA.KD009_A549_96H:TRCN0000136829:1	TA.KD009_A549_96H:TRCN0000137009:1	0.5307	0.0369	0.0589	0.0438
TA.KD009_A549_96H:TRCN0000136829:1	TA.KD009_A549_96H:TRCN0000137190:1	0.5143	0.0619	0.0555	0.0671
TA.KD009_A549_96H:TRCN0000136829:1	TA.KD009_A549_96H:TRCN0000137410:1	0.5204	0.0395	0.0263	0.0466
TA.KD009_A549_96H:TRCN0000136289:1	TA.KD009_A549_96H:TRCN0000137009:1	0.4335	-0.0844	-0.1753	-0.08
TA.KD009_A549_96H:TRCN0000136289:1	TA.KD009_A549_96H:TRCN0000137190:1	0.5072	0.0125	-0.0163	0.0156
TA.KD009_A549_96H:TRCN0000136289:1	TA.KD009_A549_96H:TRCN0000137410:1	0.5337	0.1035	0.0727	0.1071
TA.KD009_A549_96H:TRCN0000137009:1	TA.KD009_A549_96H:TRCN0000137190:1	0.5235	0.0424	0.0615	0.0475
TA.KD009_A549_96H:TRCN0000137009:1	TA.KD009_A549_96H:TRCN0000137410:1	0.4908	0.0103	-0.0304	0.0174
TA.KD009_A549_96H:TRCN0000137190:1	TA.KD009_A549_96H:TRCN0000137410:1	0.5542	0.1187	0.1106	0.1236
TA.KD009_A549_96H:TRCN0000314920:1	TA.KD009_A549_96H:TRCN0000350477:1	0.5112	0.0983	0.0633	0.1004
TA.KD009_A549_96H:TRCN0000314920:1	TA.KD009_A549_96H:TRCN0000003844:1	0.547	0.1197	0.1087	0.124
TA.KD009_A549_96H:TRCN0000314920:1	TA.KD009_A549_96H:TRCN0000314921:1	0.5041	-0.0377	-0.0278	-0.0333
TA.KD009_A549_96H:TRCN0000314920:1	TA.KD009_A549_96H:TRCN0000003846:1	0.5583	0.1371	0.1503	0.1397
TA.KD009_A549_96H:TRCN0000314920:1	TA.KD009_A549_96H:TRCN0000003843:1	0.5603	0.2062	0.2162	0.2084
TA.KD009_A549_96H:TRCN0000314920:1	TA.KD009_A549_96H:TRCN0000314990:1	0.5849	0.1756	0.1943	0.178
TA.KD009_A549_96H:TRCN0000350477:1	TA.KD009_A549_96H:TRCN0000003844:1	0.5491	0.093	0.0842	0.0972
TA.KD009_A549_96H:TRCN0000350477:1	TA.KD009_A549_96H:TRCN0000314921:1	0.5245	0.0233	0.0483	0.0272
TA.KD009_A549_96H:TRCN0000350477:1	TA.KD009_A549_96H:TRCN0000003846:1	0.5204	0.0559	0.0517	0.0586
TA.KD009_A549_96H:TRCN0000350477:1	TA.KD009_A549_96H:TRCN0000003843:1	0.4785	-0.0394	-0.0743	-0.0367
TA.KD009_A549_96H:TRCN0000350477:1	TA.KD009_A549_96H:TRCN0000314990:1	0.5644	0.1776	0.1876	0.1798
TA.KD009_A549_96H:TRCN0000003844:1	TA.KD009_A549_96H:TRCN0000314921:1	0.5869	0.165	0.2101	0.1723
TA.KD009_A549_96H:TRCN0000003844:1	TA.KD009_A549_96H:TRCN0000003846:1	0.5092	0.0605	0.0506	0.0663
TA.KD009_A549_96H:TRCN0000003844:1	TA.KD009_A549_96H:TRCN0000003843:1	0.4714	-0.0092	-0.056	-0.0035
TA.KD009_A549_96H:TRCN0000003844:1	TA.KD009_A549_96H:TRCN0000314990:1	0.6288	0.269	0.3159	0.2731
TA.KD009_A549_96H:TRCN0000314921:1	TA.KD009_A549_96H:TRCN0000003846:1	0.4223	-0.1099	-0.1912	-0.1041
TA.KD009_A549_96H:TRCN0000314921:1	TA.KD009_A549_96H:TRCN0000003843:1	0.4305	-0.1305	-0.1832	-0.1251
TA.KD009_A549_96H:TRCN0000314921:1	TA.KD009_A549_96H:TRCN0000314990:1	0.5491	0.0635	0.0911	0.0681
TA.KD009_A549_96H:TRCN0000003846:1	TA.KD009_A549_96H:TRCN0000003843:1	0.544	0.1005	0.1094	0.1035
TA.KD009_A549_96H:TRCN0000003846:1	TA.KD009_A549_96H:TRCN0000314990:1	0.5593	0.1949	0.1709	0.1977
TA.KD009_A549_96H:TRCN0000003843:1	TA.KD009_A549_96H:TRCN0000314990:1	0.4826	-0.0221	-0.0466	-0.0189
TA.KD006_HT29_96H:SHCTNNB1_581:4	CGS001_HT29_96H:CTNNB1:1	0.5941	0.3004	0.2903	0.3003
EKW001_PC3_120H:TRCN0000314921:2	EKW001_PC3_120H:TRCN0000314991:2	0.4908	0.0607	0.0384	0.0635
EKW001_PC3_120H:TRCN0000314921:2	CGS001_PC3_144H:CTNNB1:2	0.5112	0.0622	0.0395	0.0686
EKW001_PC3_120H:TRCN0000314991:2	CGS001_PC3_144H:CTNNB1:2	0.5286	0.0598	0.0653	0.0631
EKW001_SHSY5Y_120H:TRCN0000314991:2	EKW001_SHSY5Y_120H:TRCN0000314990:2	0.5849	0.193	0.2157	0.1954
EKW001_SHSY5Y_120H:TRCN0000314991:2	EKW001_SHSY5Y_120H:TRCN0000314921:2	0.4192	-0.0949	-0.1476	-0.0954
EKW001_SHSY5Y_120H:TRCN0000314990:2	EKW001_SHSY5Y_120H:TRCN0000314921:2	0.3701	-0.2078	-0.2821	-0.2082
TA.KD009_A549_96H:TRCN0000008306:1	TA.KD009_A549_96H:TRCN0000008308:1	0.4816	0.02	-0.0553	0.0202
TA.KD009_A549_96H:TRCN0000008306:1	TA.KD009_A549_96H:TRCN0000008305:1	0.4448	-0.074	-0.1387	-0.0736
TA.KD009_A549_96H:TRCN0000008306:1	TA.KD009_A549_96H:TRCN0000357001:1	0.5204	0.0338	0.0313	0.0341
TA.KD009_A549_96H:TRCN0000008306:1	TA.KD009_A549_96H:TRCN0000378221:1	0.545	0.157	0.1114	0.157
TA.KD009_A549_96H:TRCN0000008306:1	TA.KD009_A549_96H:TRCN0000357002:1	0.4622	-0.0448	-0.1025	-0.0443
TA.KD009_A549_96H:TRCN0000008306:1	TA.KD009_A549_96H:TRCN0000008307:1	0.544	0.0913	0.1122	0.0913
TA.KD009_A549_96H:TRCN0000008306:1	TA.KD009_A549_96H:TRCN0000008309:1	0.4192	-0.1418	-0.1941	-0.1411
TA.KD009_A549_96H:TRCN0000008308:1	TA.KD009_A549_96H:TRCN0000008305:1	0.5542	0.123	0.1416	0.1257
TA.KD009_A549_96H:TRCN0000008308:1	TA.KD009_A549_96H:TRCN0000357001:1	0.4796	-0.0037	-0.016	0.001
TA.KD009_A549_96H:TRCN0000008308:1	TA.KD009_A549_96H:TRCN0000378221:1	0.501	0.0532	0.0007	0.0562
TA.KD009_A549_96H:TRCN0000008308:1	TA.KD009_A549_96H:TRCN0000357002:1	0.498	0.0097	0.0012	0.014
TA.KD009_A549_96H:TRCN0000008308:1	TA.KD009_A549_96H:TRCN0000008307:1	0.4693	-0.0134	-0.0657	-0.013
TA.KD009_A549_96H:TRCN0000008308:1	TA.KD009_A549_96H:TRCN0000008309:1	0.5368	0.119	0.1526	0.1221
TA.KD009_A549_96H:TRCN0000008305:1	TA.KD009_A549_96H:TRCN0000357001:1	0.5143	0.0212	0.0135	0.026
TA.KD009_A549_96H:TRCN0000008305:1	TA.KD009_A549_96H:TRCN0000378221:1	0.4847	-0.0034	-0.0795	-0.0
TA.KD009_A549_96H:TRCN0000008305:1	TA.KD009_A549_96H:TRCN0000357002:1	0.5123	0.0068	0.0132	0.0113
TA.KD009_A549_96H:TRCN0000008305:1	TA.KD009_A549_96H:TRCN0000008307:1	0.4755	0.0336	-0.0147	0.034
TA.KD009_A549_96H:TRCN0000008305:1	TA.KD009_A549_96H:TRCN0000008309:1	0.5593	0.1108	0.1436	0.1141
TA.KD009_A549_96H:TRCN0000357001:1	TA.KD009_A549_96H:TRCN0000378221:1	0.5501	0.1005	0.1105	0.1052
TA.KD009_A549_96H:TRCN0000357001:1	TA.KD009_A549_96H:TRCN0000357002:1	0.5429	0.1282	0.1279	0.1344
TA.KD009_A549_96H:TRCN0000357001:1	TA.KD009_A549_96H:TRCN0000008307:1	0.5123	0.0316	0.027	0.0321
TA.KD009_A549_96H:TRCN0000357001:1	TA.KD009_A549_96H:TRCN0000008309:1	0.4836	-0.0284	-0.0577	-0.0224
TA.KD009_A549_96H:TRCN0000378221:1	TA.KD009_A549_96H:TRCN0000357002:1	0.5123	0.0564	0.0376	0.061
TA.KD009_A549_96H:TRCN0000378221:1	TA.KD009_A549_96H:TRCN0000008307:1	0.4959	0.0465	0.032	0.0469
TA.KD009_A549_96H:TRCN0000378221:1	TA.KD009_A549_96H:TRCN0000008309:1	0.4918	-0.0223	-0.0546	-0.0182
TA.KD009_A549_96H:TRCN0000357002:1	TA.KD009_A549_96H:TRCN0000008307:1	0.4949	0.0201	-0.0031	0.0207
TA.KD009_A549_96H:TRCN0000357002:1	TA.KD009_A549_96H:TRCN0000008309:1	0.5112	0.0326	0.0253	0.0378
TA.KD009_A549_96H:TRCN0000008307:1	TA.KD009_A549_96H:TRCN0000008309:1	0.4254	-0.1169	-0.1693	-0.1161
TA.KD009_A549_96H:TRCN0000242444:1	TA.KD009_A549_96H:TRCN0000242446:1	0.545	0.1475	0.1251	0.1501
TA.KD009_A549_96H:TRCN0000242444:1	TA.KD009_A549_96H:TRCN0000242443:1	0.4969	0.0367	-0.0027	0.0408
TA.KD009_A549_96H:TRCN0000242444:1	TA.KD009_A549_96H:TRCN0000242442:1	0.4581	-0.013	-0.0757	-0.0099
TA.KD009_A549_96H:TRCN0000242444:1	TA.KD009_A549_96H:TRCN0000242445:1	0.5378	0.1093	0.1195	0.1109
TA.KD009_A549_96H:TRCN0000242444:1	TA.KD009_A549_96H:TRCN0000172323:1	0.545	0.1495	0.1414	0.1518
TA.KD009_A549_96H:TRCN0000242446:1	TA.KD009_A549_96H:TRCN0000242443:1	0.5624	0.14	0.1511	0.1432
TA.KD009_A549_96H:TRCN0000242446:1	TA.KD009_A549_96H:TRCN0000242442:1	0.5552	0.1181	0.1545	0.1204
TA.KD009_A549_96H:TRCN0000242446:1	TA.KD009_A549_96H:TRCN0000242445:1	0.5736	0.1593	0.1581	0.1606
TA.KD009_A549_96H:TRCN0000242446:1	TA.KD009_A549_96H:TRCN0000172323:1	0.4949	0.0132	0.0076	0.0155
TA.KD009_A549_96H:TRCN0000242443:1	TA.KD009_A549_96H:TRCN0000242442:1	0.59	0.2469	0.2565	0.2495
TA.KD009_A549_96H:TRCN0000242443:1	TA.KD009_A549_96H:TRCN0000242445:1	0.4806	0.027	-0.0419	0.0291
TA.KD009_A549_96H:TRCN0000242443:1	TA.KD009_A549_96H:TRCN0000172323:1	0.5532	0.1803	0.1598	0.1829
TA.KD009_A549_96H:TRCN0000242442:1	TA.KD009_A549_96H:TRCN0000242445:1	0.5256	0.0924	0.0504	0.0938
TA.KD009_A549_96H:TRCN0000242442:1	TA.KD009_A549_96H:TRCN0000172323:1	0.4755	-0.0655	-0.0995	-0.063
TA.KD009_A549_96H:TRCN0000242445:1	TA.KD009_A549_96H:TRCN0000172323:1	0.4489	-0.0536	-0.1018	-0.0521
EKW001_PC3_120H:TRCN0000295865:2	EKW001_PC3_120H:TRCN0000295864:2	0.501	0.0295	-0.0038	0.0316
EKW001_PC3_120H:TRCN0000295865:2	EKW001_PC3_120H:TRCN0000121293:2	0.5419	0.1181	0.1142	0.1196
EKW001_PC3_120H:TRCN0000295865:2	CGS001_PC3_144H:DDR1:2	0.5624	0.1715	0.202	0.1715
EKW001_PC3_120H:TRCN0000295864:2	EKW001_PC3_120H:TRCN0000121293:2	0.5051	0.0912	0.0599	0.0934
EKW001_PC3_120H:TRCN0000295864:2	CGS001_PC3_144H:DDR1:2	0.5061	-0.0169	-0.016	-0.0166
EKW001_PC3_120H:TRCN0000121293:2	CGS001_PC3_144H:DDR1:2	0.5143	0.0347	0.0194	0.0348
EKW001_SHSY5Y_120H:TRCN0000121293:2	EKW001_SHSY5Y_120H:TRCN0000295865:2	0.4969	0.0419	0.0048	0.042
EKW001_SHSY5Y_120H:TRCN0000121293:2	EKW001_SHSY5Y_120H:TRCN0000295864:2	0.499	0.0726	0.031	0.0745
EKW001_SHSY5Y_120H:TRCN0000295865:2	EKW001_SHSY5Y_120H:TRCN0000295864:2	0.499	0.0665	0.0162	0.0665
EKW001_PC3_120H:TRCN0000118998:2	EKW001_PC3_120H:TRCN0000118999:2	0.5184	0.0921	0.0316	0.0922
EKW001_PC3_120H:TRCN0000118998:2	EKW001_PC3_120H:TRCN0000119000:2	0.499	0.0196	0.0027	0.0198
EKW001_PC3_120H:TRCN0000118999:2	EKW001_PC3_120H:TRCN0000119000:2	0.5961	0.198	0.25	0.1996
EKW001_SHSY5Y_120H:TRCN0000118999:2	EKW001_SHSY5Y_120H:TRCN0000118998:2	0.4847	0.0585	0.0033	0.059
EKW001_PC3_120H:TRCN0000137860:2	EKW001_PC3_120H:TRCN0000134516:2	0.5031	0.0098	0.0005	0.0109
EKW001_PC3_120H:TRCN0000137860:2	EKW001_PC3_120H:TRCN0000137219:2	0.5235	0.1001	0.0966	0.1028
EKW001_PC3_120H:TRCN0000134516:2	EKW001_PC3_120H:TRCN0000137219:2	0.5174	0.1168	0.0656	0.1185
EKW001_SHSY5Y_120H:TRCN0000137860:2	EKW001_SHSY5Y_120H:TRCN0000137219:2	0.5164	0.0663	0.0533	0.0672
EKW001_SHSY5Y_120H:TRCN0000137860:2	EKW001_SHSY5Y_120H:TRCN0000134516:2	0.6094	0.224	0.2521	0.2255
EKW001_SHSY5Y_120H:TRCN0000137219:2	EKW001_SHSY5Y_120H:TRCN0000134516:2	0.4898	0.0059	-0.0049	0.007
EKW001_PC3_120H:TRCN0000033386:2	EKW001_PC3_120H:TRCN0000033388:2	0.5112	0.0908	0.073	0.0919
EKW001_PC3_120H:TRCN0000033386:2	EKW001_PC3_120H:TRCN0000296460:2	0.4724	0.0002	-0.0339	0.0006
EKW001_PC3_120H:TRCN0000033388:2	EKW001_PC3_120H:TRCN0000296460:2	0.5174	0.045	0.0531	0.0457
EKW001_SHSY5Y_120H:TRCN0000033388:2	EKW001_SHSY5Y_120H:TRCN0000296460:2	0.5798	0.2	0.2143	0.2013
EKW001_PC3_120H:TRCN0000035756:2	EKW001_PC3_120H:TRCN0000035754:2	0.5204	0.072	0.0665	0.0729
EKW001_PC3_120H:TRCN0000035756:2	EKW001_PC3_120H:TRCN0000035757:2	0.5562	0.1492	0.1326	0.1494
EKW001_PC3_120H:TRCN0000035754:2	EKW001_PC3_120H:TRCN0000035757:2	0.5491	0.1268	0.1365	0.127
TA.KD009_A549_96H:TRCN0000037627:1	TA.KD009_A549_96H:TRCN0000037625:1	0.5337	0.0199	0.0457	0.022
TA.KD009_A549_96H:TRCN0000037627:1	TA.KD009_A549_96H:TRCN0000037626:1	0.547	0.1161	0.1151	0.1169
TA.KD009_A549_96H:TRCN0000037627:1	TA.KD009_A549_96H:TRCN0000037628:1	0.4571	-0.0728	-0.1063	-0.0709
TA.KD009_A549_96H:TRCN0000037627:1	TA.KD009_A549_96H:TRCN0000037624:1	0.6145	0.2622	0.287	0.2631
TA.KD009_A549_96H:TRCN0000037625:1	TA.KD009_A549_96H:TRCN0000037626:1	0.5204	0.0962	0.099	0.098
TA.KD009_A549_96H:TRCN0000037625:1	TA.KD009_A549_96H:TRCN0000037628:1	0.5031	0.0273	0.0452	0.0313
TA.KD009_A549_96H:TRCN0000037625:1	TA.KD009_A549_96H:TRCN0000037624:1	0.4519	-0.0738	-0.1124	-0.0705
TA.KD009_A549_96H:TRCN0000037626:1	TA.KD009_A549_96H:TRCN0000037628:1	0.5112	0.0173	0.0122	0.019
TA.KD009_A549_96H:TRCN0000037626:1	TA.KD009_A549_96H:TRCN0000037624:1	0.4724	-0.0472	-0.1114	-0.0459
TA.KD009_A549_96H:TRCN0000037628:1	TA.KD009_A549_96H:TRCN0000037624:1	0.5583	0.0919	0.1145	0.0942
EKW001_PC3_120H:TRCN0000053578:2	EKW001_PC3_120H:TRCN0000053579:2	0.4632	-0.0642	-0.1134	-0.0624
EKW001_PC3_120H:TRCN0000053578:2	EKW001_PC3_120H:TRCN0000053580:2	0.4407	-0.0495	-0.106	-0.0488
EKW001_PC3_120H:TRCN0000053579:2	EKW001_PC3_120H:TRCN0000053580:2	0.5419	0.1416	0.1579	0.1422
EKW001_SHSY5Y_120H:TRCN0000053580:2	EKW001_SHSY5Y_120H:TRCN0000053579:2	0.5061	0.0955	0.0701	0.0929
EKW001_SHSY5Y_120H:TRCN0000053580:2	EKW001_SHSY5Y_120H:TRCN0000053578:2	0.5849	0.1441	0.1902	0.1439
EKW001_SHSY5Y_120H:TRCN0000053579:2	EKW001_SHSY5Y_120H:TRCN0000053578:2	0.453	-0.0216	-0.0934	-0.0215
EKW001_PC3_120H:TRCN0000300447:2	EKW001_PC3_120H:TRCN0000300446:2	0.5327	0.1231	0.1069	0.1246
EKW001_PC3_120H:TRCN0000300447:2	EKW001_PC3_120H:TRCN0000033343:2	0.5297	0.111	0.0819	0.1121
EKW001_PC3_120H:TRCN0000300446:2	EKW001_PC3_120H:TRCN0000033343:2	0.4734	-0.0224	-0.0534	-0.0213
EKW001_SHSY5Y_120H:TRCN0000300447:2	EKW001_SHSY5Y_120H:TRCN0000300446:2	0.5389	0.133	0.1287	0.1332
EKW001_SHSY5Y_120H:TRCN0000300447:2	EKW001_SHSY5Y_120H:TRCN0000033343:2	0.5184	0.137	0.1062	0.1373
EKW001_SHSY5Y_120H:TRCN0000300446:2	EKW001_SHSY5Y_120H:TRCN0000033343:2	0.4826	0.009	-0.0579	0.0093
TAK004_U2OS_96H:TRCN0000039659:1	TAK004_U2OS_96H:TRCN0000010328:1	0.5736	0.2038	0.2015	0.2037
TAK004_U2OS_96H:TRCN0000039659:1	TAK004_U2OS_96H:TRCN0000039660:1	0.5399	0.1426	0.1067	0.1425
TAK004_U2OS_96H:TRCN0000039659:1	TAK004_U2OS_96H:TRCN0000010327:1	0.544	0.0883	0.1063	0.0876
TAK004_U2OS_96H:TRCN0000039659:1	TAK004_U2OS_96H:TRCN0000039662:1	0.5675	0.1223	0.1524	0.1221
TAK004_U2OS_96H:TRCN0000039659:1	TAK004_U2OS_96H:TRCN0000000250:1	0.4458	0.006	-0.0553	0.0062
TAK004_U2OS_96H:TRCN0000039659:1	TAK004_U2OS_96H:TRCN0000039661:1	0.5695	0.1981	0.1908	0.1979
TAK004_U2OS_96H:TRCN0000039659:1	TAK004_U2OS_96H:TRCN0000000251:1	0.5521	0.0933	0.0862	0.0932
TAK004_U2OS_96H:TRCN0000039659:1	TAK004_U2OS_96H:TRCN0000039658:1	0.5317	0.1295	0.1153	0.1291
TAK004_U2OS_96H:TRCN0000010328:1	TAK004_U2OS_96H:TRCN0000039660:1	0.5716	0.1898	0.1748	0.1898
TAK004_U2OS_96H:TRCN0000010328:1	TAK004_U2OS_96H:TRCN0000010327:1	0.5389	0.1656	0.1232	0.1657
TAK004_U2OS_96H:TRCN0000010328:1	TAK004_U2OS_96H:TRCN0000039662:1	0.5031	0.1171	0.0495	0.1172
TAK004_U2OS_96H:TRCN0000010328:1	TAK004_U2OS_96H:TRCN0000000250:1	0.4427	0.007	-0.0759	0.0069
TAK004_U2OS_96H:TRCN0000010328:1	TAK004_U2OS_96H:TRCN0000039661:1	0.6166	0.2561	0.2604	0.2562
TAK004_U2OS_96H:TRCN0000010328:1	TAK004_U2OS_96H:TRCN0000000251:1	0.5491	0.1812	0.1489	0.1813
TAK004_U2OS_96H:TRCN0000010328:1	TAK004_U2OS_96H:TRCN0000039658:1	0.5337	0.1881	0.1631	0.1882
TAK004_U2OS_96H:TRCN0000039660:1	TAK004_U2OS_96H:TRCN0000010327:1	0.5706	0.1392	0.1724	0.1396
TAK004_U2OS_96H:TRCN0000039660:1	TAK004_U2OS_96H:TRCN0000039662:1	0.5061	0.0772	0.0262	0.0774
TAK004_U2OS_96H:TRCN0000039660:1	TAK004_U2OS_96H:TRCN0000000250:1	0.4315	-0.0337	-0.1057	-0.034
TAK004_U2OS_96H:TRCN0000039660:1	TAK004_U2OS_96H:TRCN0000039661:1	0.6421	0.2981	0.3607	0.2982
TAK004_U2OS_96H:TRCN0000039660:1	TAK004_U2OS_96H:TRCN0000000251:1	0.544	0.133	0.1203	0.1331
TAK004_U2OS_96H:TRCN0000039660:1	TAK004_U2OS_96H:TRCN0000039658:1	0.4714	0.0483	-0.0037	0.0486
TAK004_U2OS_96H:TRCN0000010327:1	TAK004_U2OS_96H:TRCN0000039662:1	0.4775	-0.0613	-0.0926	-0.0606
TAK004_U2OS_96H:TRCN0000010327:1	TAK004_U2OS_96H:TRCN0000000250:1	0.407	-0.121	-0.1933	-0.1218
TAK004_U2OS_96H:TRCN0000010327:1	TAK004_U2OS_96H:TRCN0000039661:1	0.6084	0.2541	0.2873	0.2544
TAK004_U2OS_96H:TRCN0000010327:1	TAK004_U2OS_96H:TRCN0000000251:1	0.5337	0.0775	0.0851	0.0778
TAK004_U2OS_96H:TRCN0000010327:1	TAK004_U2OS_96H:TRCN0000039658:1	0.5215	0.0958	0.0632	0.097
TAK004_U2OS_96H:TRCN0000039662:1	TAK004_U2OS_96H:TRCN0000000250:1	0.4632	-0.0274	-0.0545	-0.0277
TAK004_U2OS_96H:TRCN0000039662:1	TAK004_U2OS_96H:TRCN0000039661:1	0.5389	0.0447	0.0608	0.0448
TAK004_U2OS_96H:TRCN0000039662:1	TAK004_U2OS_96H:TRCN0000000251:1	0.5225	0.067	0.0488	0.0671
TAK004_U2OS_96H:TRCN0000039662:1	TAK004_U2OS_96H:TRCN0000039658:1	0.5767	0.1801	0.1464	0.1804
TAK004_U2OS_96H:TRCN0000000250:1	TAK004_U2OS_96H:TRCN0000039661:1	0.3661	-0.1695	-0.2715	-0.1697
TAK004_U2OS_96H:TRCN0000000250:1	TAK004_U2OS_96H:TRCN0000000251:1	0.4663	-0.0106	-0.0645	-0.0108
TAK004_U2OS_96H:TRCN0000000250:1	TAK004_U2OS_96H:TRCN0000039658:1	0.545	0.0753	0.0907	0.0747
TAK004_U2OS_96H:TRCN0000039661:1	TAK004_U2OS_96H:TRCN0000000251:1	0.5951	0.2339	0.2469	0.2339
TAK004_U2OS_96H:TRCN0000039661:1	TAK004_U2OS_96H:TRCN0000039658:1	0.4959	0.1089	0.0824	0.1092
TAK004_U2OS_96H:TRCN0000000251:1	TAK004_U2OS_96H:TRCN0000039658:1	0.4652	0.0424	-0.0308	0.0426
TA.KD010_A549_96H:TRCN0000121204:1	TA.KD010_A549_96H:TRCN0000199174:1	0.3957	-0.2205	-0.2616	-0.2198
TA.KD010_A549_96H:TRCN0000121204:1	TA.KD010_A549_96H:TRCN0000310112:1	0.5532	0.1216	0.1258	0.122
TA.KD010_A549_96H:TRCN0000121204:1	TA.KD010_A549_96H:TRCN0000039634:1	0.638	0.4172	0.4152	0.4174
TA.KD010_A549_96H:TRCN0000121204:1	TA.KD010_A549_96H:TRCN0000121329:1	0.6115	0.3185	0.3386	0.3188
TA.KD010_A549_96H:TRCN0000121204:1	TA.KD010_A549_96H:TRCN0000199100:1	0.6053	0.1785	0.2149	0.1787
TA.KD010_A549_96H:TRCN0000121204:1	TA.KD010_A549_96H:TRCN0000295968:1	0.4622	-0.0443	-0.0897	-0.0435
TA.KD010_A549_96H:TRCN0000121204:1	TA.KD010_A549_96H:TRCN0000195303:1	0.4796	-0.0059	-0.0713	-0.0049
TA.KD010_A549_96H:TRCN0000199174:1	TA.KD010_A549_96H:TRCN0000310112:1	0.4519	-0.0316	-0.0996	-0.0308
TA.KD010_A549_96H:TRCN0000199174:1	TA.KD010_A549_96H:TRCN0000039634:1	0.3875	-0.1657	-0.2231	-0.1648
TA.KD010_A549_96H:TRCN0000199174:1	TA.KD010_A549_96H:TRCN0000121329:1	0.4243	-0.1441	-0.1666	-0.1429
TA.KD010_A549_96H:TRCN0000199174:1	TA.KD010_A549_96H:TRCN0000199100:1	0.4877	0.106	0.0334	0.1064
TA.KD010_A549_96H:TRCN0000199174:1	TA.KD010_A549_96H:TRCN0000295968:1	0.5143	0.0518	0.0518	0.0532
TA.KD010_A549_96H:TRCN0000199174:1	TA.KD010_A549_96H:TRCN0000195303:1	0.5256	0.1142	0.1016	0.1159
TA.KD010_A549_96H:TRCN0000310112:1	TA.KD010_A549_96H:TRCN0000039634:1	0.5613	0.2006	0.1537	0.2009
TA.KD010_A549_96H:TRCN0000310112:1	TA.KD010_A549_96H:TRCN0000121329:1	0.5552	0.1386	0.126	0.1392
TA.KD010_A549_96H:TRCN0000310112:1	TA.KD010_A549_96H:TRCN0000199100:1	0.5123	0.0202	0.0126	0.0205
TA.KD010_A549_96H:TRCN0000310112:1	TA.KD010_A549_96H:TRCN0000295968:1	0.5184	0.0572	0.0501	0.0581
TA.KD010_A549_96H:TRCN0000310112:1	TA.KD010_A549_96H:TRCN0000195303:1	0.4744	0.0162	-0.0237	0.0174
TA.KD010_A549_96H:TRCN0000039634:1	TA.KD010_A549_96H:TRCN0000121329:1	0.6094	0.3716	0.3337	0.372
TA.KD010_A549_96H:TRCN0000039634:1	TA.KD010_A549_96H:TRCN0000199100:1	0.546	0.1522	0.1666	0.1525
TA.KD010_A549_96H:TRCN0000039634:1	TA.KD010_A549_96H:TRCN0000295968:1	0.4867	0.0225	-0.0289	0.0234
TA.KD010_A549_96H:TRCN0000039634:1	TA.KD010_A549_96H:TRCN0000195303:1	0.4468	-0.0315	-0.115	-0.0302
TA.KD010_A549_96H:TRCN0000121329:1	TA.KD010_A549_96H:TRCN0000199100:1	0.5358	0.0859	0.0923	0.0863
TA.KD010_A549_96H:TRCN0000121329:1	TA.KD010_A549_96H:TRCN0000295968:1	0.4397	-0.1144	-0.1472	-0.1129
TA.KD010_A549_96H:TRCN0000121329:1	TA.KD010_A549_96H:TRCN0000195303:1	0.4857	0.0129	-0.0191	0.0146
TA.KD010_A549_96H:TRCN0000199100:1	TA.KD010_A549_96H:TRCN0000295968:1	0.4826	0.0007	-0.0204	0.0013
TA.KD010_A549_96H:TRCN0000199100:1	TA.KD010_A549_96H:TRCN0000195303:1	0.4182	-0.0591	-0.1677	-0.0582
TA.KD010_A549_96H:TRCN0000295968:1	TA.KD010_A549_96H:TRCN0000195303:1	0.4939	0.0101	-0.0146	0.0124
TAK004_U2OS_96H:TRCN0000195303:1	TAK004_U2OS_96H:TRCN0000295968:1	0.5174	0.018	0.0257	0.0189
TAK004_U2OS_96H:TRCN0000195303:1	TAK004_U2OS_96H:TRCN0000121068:1	0.6074	0.2167	0.2632	0.2177
TAK004_U2OS_96H:TRCN0000195303:1	TAK004_U2OS_96H:TRCN0000121202:1	0.4888	0.0384	-0.0224	0.0393
TAK004_U2OS_96H:TRCN0000195303:1	TAK004_U2OS_96H:TRCN0000121071:1	0.5828	0.2027	0.1975	0.2036
TAK004_U2OS_96H:TRCN0000295968:1	TAK004_U2OS_96H:TRCN0000121068:1	0.5174	-0.0141	-0.0031	-0.0125
TAK004_U2OS_96H:TRCN0000295968:1	TAK004_U2OS_96H:TRCN0000121202:1	0.4642	0.0409	-0.027	0.0419
TAK004_U2OS_96H:TRCN0000295968:1	TAK004_U2OS_96H:TRCN0000121071:1	0.5235	0.0685	0.0434	0.0697
