drug-sample	target-sample	jaccard	pearson	spearman	cosine
CPC016_A549_24H:BRD-A11678676-001-03-4:10	TA.KD010_A549_96H:TRCN0000195203:1	0.5184	0.091	0.0747	0.0932
CPC016_A549_24H:BRD-A11678676-001-03-4:10	TA.KD010_A549_96H:TRCN0000039607:1	0.4049	-0.1541	-0.2383	-0.149
MOAR019_A375_24H:N05	CGS001_A375_96H:PIK3CA:1	0.4826	0.0105	0.0082	0.0122
CPC004_HA1E_6H:BRD-A11678676-001-03-4:10	CGS001_HA1E_96H:PIK3CG:1.5	0.4632	-0.085	-0.0989	-0.0863
CPC004_A375_6H:BRD-A11678676-001-03-4:10	CGS001_A375_96H:PLK1:1	0.5378	0.1171	0.1126	0.1126
CPC004_HCC515_24H:BRD-A11678676-001-03-4:10	CGS001_HCC515_96H:PLK1:2	0.5532	0.0954	0.113	0.0953
CPC016_A549_24H:BRD-A11678676-001-03-4:10	CGS001_A549_96H:PLK1:1	0.4611	0.0165	-0.0486	0.0193
MOAR019_A375_24H:N05	CGS001_A375_96H:PLK1:1	0.5133	0.0597	0.0455	0.0606
CPC014_HA1E_6H:BRD-A11706664-001-01-1:10	CGS001_HA1E_96H:AKT1:1.5	0.4765	-0.0121	-0.0913	-0.0125
CPC014_PC3_6H:BRD-A11706664-001-01-1:10	EKW001_PC3_120H:TRCN0000295915:2	0.5102	0.0749	0.0714	0.0782
CPC014_PC3_6H:BRD-A11706664-001-01-1:10	EKW001_PC3_120H:TRCN0000288787:2	0.5429	0.1315	0.1532	0.1351
CPC014_PC3_6H:BRD-A11706664-001-01-1:10	EKW001_PC3_120H:TRCN0000295914:2	0.5102	-0.0116	-0.0108	-0.0112
CPC014_PC3_6H:BRD-A11706664-001-01-1:10	CGS001_PC3_96H:AKT1:2	0.5399	0.1589	0.1822	0.162
CPC014_PC3_6H:BRD-A11706664-001-01-1:10	CGS001_PC3_144H:AKT1:2	0.4939	-0.057	-0.0482	-0.06
CPC014_MCF7_24H:BRD-A11706664-001-01-1:10	CGS001_MCF7_96H:AKT1:2	0.5358	0.2074	0.1658	0.2065
CPC014_HCC515_6H:BRD-A11706664-001-01-1:10	CGS001_HCC515_96H:AKT2:2	0.4182	-0.1229	-0.1602	-0.1192
CPC014_MCF7_24H:BRD-A11706664-001-01-1:10	CGS001_MCF7_96H:AKT2:2	0.4755	-0.0001	-0.0221	-0.0008
PCL001_A549_24H:BRD-A12230535:10	TA.KD009_A549_96H:TRCN0000003379:1	0.5072	0.0938	0.0476	0.0947
PCL001_A549_24H:BRD-A12230535:10	TA.KD009_A549_96H:TRCN0000003380:1	0.5542	0.1724	0.1706	0.173
PCL001_A549_24H:BRD-A12230535:10	TA.KD009_A549_96H:TRCN0000003376:1	0.5092	0.036	0.0271	0.037
PCL001_A549_24H:BRD-A12230535:10	TA.KD009_A549_96H:TRCN0000355728:1	0.5511	0.1478	0.1086	0.1482
PCL001_A549_24H:BRD-A12230535:10	TA.KD009_A549_96H:TRCN0000003377:1	0.5501	0.0757	0.0739	0.0764
PCL001_A549_24H:BRD-A12230535:10	TA.KD009_A549_96H:TRCN0000355727:1	0.5286	0.1804	0.0977	0.181
PCL001_A549_24H:BRD-A12230535:10	TA.KD009_A549_96H:TRCN0000355726:1	0.6104	0.323	0.3032	0.3236
ASG003_MCF7_24H:L16	CGS001_MCF7_96H:MDM2:2	0.5685	0.2701	0.2214	0.269
ASG003_MCF7_24H:L16	CGS001_MCF7_144H:MDM2:2	0.6125	0.3796	0.3444	0.3777
ASG003_MCF7_6H:L16	CGS001_MCF7_96H:MDM2:2	0.5419	0.2272	0.1921	0.2286
ASG003_MCF7_6H:L16	CGS001_MCF7_144H:MDM2:2	0.5429	0.2064	0.1616	0.2085
ASG002_MCF7_24H:C13	CGS001_MCF7_96H:MDM2:2	0.592	0.2671	0.2329	0.2668
ASG002_MCF7_24H:C13	CGS001_MCF7_144H:MDM2:2	0.5828	0.3431	0.2883	0.3425
ASG003_MCF7_48H:L16	CGS001_MCF7_96H:MDM2:2	0.6063	0.3192	0.309	0.3183
ASG003_MCF7_48H:L16	CGS001_MCF7_144H:MDM2:2	0.6544	0.4549	0.4389	0.4532
ASG003_A549_6H:L16	TA.KD009_A549_96H:TRCN0000003379:1	0.4908	0.0123	-0.0297	0.0103
ASG003_A549_6H:L16	TA.KD009_A549_96H:TRCN0000003380:1	0.5481	0.1125	0.1485	0.1109
ASG003_A549_6H:L16	TA.KD009_A549_96H:TRCN0000003376:1	0.5297	0.0969	0.0975	0.0947
ASG003_A549_6H:L16	TA.KD009_A549_96H:TRCN0000355728:1	0.5061	0.0432	0.0614	0.0423
ASG003_A549_6H:L16	TA.KD009_A549_96H:TRCN0000003377:1	0.5194	0.0736	0.0484	0.072
ASG003_A549_6H:L16	TA.KD009_A549_96H:TRCN0000355727:1	0.455	-0.0087	-0.0605	-0.0101
ASG003_A549_6H:L16	TA.KD009_A549_96H:TRCN0000355726:1	0.4816	0.0803	0.0192	0.0781
ASG003_A549_24H:L16	TA.KD009_A549_96H:TRCN0000003379:1	0.5317	0.0896	0.0908	0.0889
ASG003_A549_24H:L16	TA.KD009_A549_96H:TRCN0000003380:1	0.5634	0.1759	0.1865	0.1754
ASG003_A549_24H:L16	TA.KD009_A549_96H:TRCN0000003376:1	0.5235	0.0406	0.0463	0.04
ASG003_A549_24H:L16	TA.KD009_A549_96H:TRCN0000355728:1	0.5256	0.1064	0.0764	0.1061
