drug-sample	target-sample	jaccard	pearson	spearman	cosine
REP.A005_A549_24H:E01	TA.KD010_A549_96H:TRCN0000195303:1	0.4898	0.0293	-0.002	0.0287
REP.A005_HA1E_24H:E03	CGS001_HA1E_96H:EGFR:1.5	0.5256	0.0649	0.0858	0.0637
REP.A005_HA1E_24H:E21	CGS001_HA1E_96H:MTOR:1.5	0.5706	0.1983	0.1898	0.1978
REP.A005_HA1E_24H:E20	CGS001_HA1E_96H:MTOR:1.5	0.5204	0.1403	0.095	0.141
LKCP001_U2OS_6H:I10	TAK004_U2OS_96H:TRCN0000221544:1	0.5501	0.0954	0.1032	0.0958
LKCP001_U2OS_6H:I10	TAK004_U2OS_96H:TRCN0000221543:1	0.5256	0.0485	0.0938	0.0474
LKCP001_U2OS_6H:I10	TAK004_U2OS_96H:TRCN0000195453:1	0.5204	0.0667	0.0484	0.0682
LKCP001_U2OS_6H:I10	TAK004_U2OS_96H:TRCN0000221545:1	0.5409	0.0939	0.1297	0.094
LKCP001_U2OS_6H:I10	TAK004_U2OS_96H:TRCN0000038677:1	0.5603	0.147	0.1651	0.1487
CPC018_MCF7_24H:BRD-K09132007-001-01-8:10	CGS001_MCF7_144H:CSNK1A1:2	0.4724	0.0458	0.0397	0.0448
CPC018_MCF7_24H:BRD-K09132007-001-01-8:10	CGS001_MCF7_96H:CSNK1A1:2	0.5307	0.0838	0.0905	0.0825
CPC003_HA1E_24H:BRD-K09132007-001-01-8:10	CGS001_HA1E_96H:TGFB1:1.5	0.5757	0.2268	0.2223	0.2254
REP.B005_PC3_24H:G20	CGS001_PC3_144H:TOP1:2	0.4571	-0.1075	-0.0869	-0.1076
REP.A005_HA1E_24H:G20	CGS001_HA1E_96H:TOP1:1.5	0.6176	0.2442	0.2606	0.2432
REP.B005_HA1E_24H:G22	CGS001_HA1E_96H:TOP1:1.5	0.4387	-0.0258	-0.0824	-0.0257
REP.A005_HA1E_24H:G22	CGS001_HA1E_96H:TOP1:1.5	0.5511	0.1726	0.1657	0.1721
REP.A005_MCF7_24H:G19	CGS001_MCF7_96H:TOP1:2	0.6421	0.3806	0.4024	0.3799
REP.A005_MCF7_24H:G19	CGS001_MCF7_144H:TOP1:2	0.6104	0.3201	0.3287	0.3191
REP.B005_HA1E_24H:G24	CGS001_HA1E_96H:TOP1:1.5	0.4162	-0.1204	-0.1931	-0.1201
REP.B005_HA1E_24H:G19	CGS001_HA1E_96H:TOP1:1.5	0.636	0.2885	0.3173	0.2866
REP.B005_HA1E_24H:G23	CGS001_HA1E_96H:TOP1:1.5	0.5215	0.0841	0.057	0.083
REP.A005_HA1E_24H:G19	CGS001_HA1E_96H:TOP1:1.5	0.6217	0.3289	0.3375	0.3267
REP.A005_MCF7_24H:G20	CGS001_MCF7_96H:TOP1:2	0.6513	0.3788	0.3952	0.3763
REP.A005_MCF7_24H:G20	CGS001_MCF7_144H:TOP1:2	0.6196	0.2942	0.3048	0.2912
REP.B005_HA1E_24H:G21	CGS001_HA1E_96H:TOP1:1.5	0.5644	0.132	0.1389	0.1312
REP.A005_HA1E_24H:G21	CGS001_HA1E_96H:TOP1:1.5	0.6125	0.2734	0.2877	0.2721
REP.B005_PC3_24H:G19	CGS001_PC3_144H:TOP1:2	0.4908	-0.035	-0.0382	-0.0348
REP.A005_HA1E_24H:G23	CGS001_HA1E_96H:TOP1:1.5	0.5491	0.1671	0.1598	0.1667
CPC013_MCF7_24H:BRD-K09485525-001-01-3:10	CGS001_MCF7_96H:GLI1:2	0.5389	0.1294	0.0991	0.1301
HOG003_A549_24H:BRD-K09499853-305-01-1:3.33	TA.KD010_A549_96H:TRCN0000010407:1	0.4816	-0.0073	-0.0574	-0.0043
HOG003_A549_24H:BRD-K09499853-305-01-1:3.33	TA.KD010_A549_96H:TRCN0000350276:1	0.5613	0.0941	0.1317	0.0947
HOG003_A549_24H:BRD-K09499853-305-01-1:3.33	TA.KD010_A549_96H:TRCN0000320655:1	0.4509	-0.1016	-0.1404	-0.0998
HOG003_A549_24H:BRD-K09499853-305-01-1:3.33	TA.KD010_A549_96H:TRCN0000196795:1	0.6084	0.2369	0.2382	0.2365
HOG003_A549_24H:BRD-K09499853-305-01-1:3.33	TA.KD010_A549_96H:TRCN0000039603:1	0.3742	-0.2347	-0.3027	-0.2292
HOG003_A549_24H:BRD-K09499853-305-01-1:3.33	TA.KD010_A549_96H:TRCN0000195203:1	0.5061	0.0386	0.0426	0.0404
HOG003_A549_24H:BRD-K09499853-305-01-1:3.33	TA.KD010_A549_96H:TRCN0000039607:1	0.407	-0.1443	-0.2092	-0.1405
HOG003_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000010407:1	0.4571	-0.0801	-0.1142	-0.0758
HOG003_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000350276:1	0.5112	-0.0439	-0.0126	-0.043
HOG003_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000320655:1	0.456	-0.1098	-0.127	-0.1073
HOG003_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000196795:1	0.5562	0.0961	0.0961	0.0957
HOG003_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000039603:1	0.4039	-0.1677	-0.2011	-0.1609
HOG003_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000195203:1	0.5153	0.013	0.0204	0.0155
HOG003_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000039607:1	0.4387	-0.1324	-0.1643	-0.1273
HOG003_A549_6H:BRD-K09499853-305-01-1:0.0015	TA.KD010_A549_96H:TRCN0000010407:1	0.5327	0.0577	0.092	0.0545
HOG003_A549_6H:BRD-K09499853-305-01-1:0.0015	TA.KD010_A549_96H:TRCN0000350276:1	0.4826	-0.0192	-0.0476	-0.0198
HOG003_A549_6H:BRD-K09499853-305-01-1:0.0015	TA.KD010_A549_96H:TRCN0000320655:1	0.5409	0.0719	0.0909	0.0702
HOG003_A549_6H:BRD-K09499853-305-01-1:0.0015	TA.KD010_A549_96H:TRCN0000196795:1	0.4683	-0.0313	-0.0606	-0.0311
HOG003_A549_6H:BRD-K09499853-305-01-1:0.0015	TA.KD010_A549_96H:TRCN0000039603:1	0.5215	-0.0082	0.0317	-0.0125
HOG003_A549_6H:BRD-K09499853-305-01-1:0.0015	TA.KD010_A549_96H:TRCN0000195203:1	0.5317	0.0762	0.0877	0.0741
HOG003_A549_6H:BRD-K09499853-305-01-1:0.0015	TA.KD010_A549_96H:TRCN0000039607:1	0.5256	0.0697	0.0993	0.0662
CPC006_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000010407:1	0.4693	-0.0551	-0.0874	-0.0519
CPC006_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000350276:1	0.5378	0.0599	0.1045	0.0604
CPC006_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000320655:1	0.4479	-0.119	-0.154	-0.1172
CPC006_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000196795:1	0.5665	0.1551	0.1711	0.1548
CPC006_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000039603:1	0.4121	-0.1765	-0.1948	-0.1714
CPC006_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000195203:1	0.501	0.0404	0.0292	0.0422
CPC006_A549_6H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000039607:1	0.3978	-0.1688	-0.2263	-0.165
CPC006_A549_24H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000010407:1	0.4785	-0.0504	-0.0679	-0.0488
CPC006_A549_24H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000350276:1	0.5184	0.0048	0.0256	0.0052
CPC006_A549_24H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000320655:1	0.4734	-0.0613	-0.0709	-0.0604
CPC006_A549_24H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000196795:1	0.5613	0.1335	0.1336	0.1334
CPC006_A549_24H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000039603:1	0.4213	-0.2238	-0.2414	-0.2207
CPC006_A549_24H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000195203:1	0.5307	0.045	0.0803	0.0459
CPC006_A549_24H:BRD-K09499853-305-01-1:10	TA.KD010_A549_96H:TRCN0000039607:1	0.4192	-0.1194	-0.1609	-0.1174
CPC006_HA1E_6H:BRD-K09499853-305-01-1:10	CGS001_HA1E_96H:PIK3CB:1.5	0.6115	0.2469	0.3021	0.2469
CPC006_HEPG2_6H:BRD-K09499853-305-01-1:10	CGS001_HEPG2_96H:PIK3CB:1.5	0.5112	0.064	0.0542	0.064
CPC006_PC3_6H:BRD-K09499853-305-01-1:10	EKW001_PC3_120H:TRCN0000196328:2	0.5317	0.0874	0.1116	0.0883
CPC006_PC3_6H:BRD-K09499853-305-01-1:10	EKW001_PC3_120H:TRCN0000195491:2	0.5368	0.0856	0.0893	0.0868
CPC006_PC3_6H:BRD-K09499853-305-01-1:10	EKW001_PC3_120H:TRCN0000197152:2	0.4744	-0.0313	-0.0593	-0.03
CPC006_PC3_6H:BRD-K09499853-305-01-1:10	CGS001_PC3_144H:PRKDC:2	0.4182	-0.2831	-0.2635	-0.2842
CPC015_HT29_6H:BRD-K09537769-001-02-4:10	CGS001_HT29_96H:PRKDC:1	0.5624	0.154	0.1738	0.154
CPC001_HA1E_24H:BRD-K09549677-300-01-8:10	CGS001_HA1E_96H:CACNA1C:1.5	0.4284	-0.1123	-0.1747	-0.1107
REP.A005_A375_24H:I07	CGS001_A375_96H:CACNA1C:1	0.4877	-0.0564	-0.0669	-0.0551
REP.A005_HA1E_24H:I07	CGS001_HA1E_96H:CACNA1C:1.5	0.4438	-0.1037	-0.1588	-0.1006
ERG020_VCAP_24H:BRD-K09638361:10	CGS001_VCAP_120H:CSNK1E:5	0.455	-0.0296	-0.0878	-0.0296
MUC.CP004_MCF7_24H:BRD-K09638361-001-01-4:0.3704	CGS001_MCF7_144H:CSNK1E:2	0.3998	-0.1764	-0.2497	-0.1802
CPC014_A549_24H:BRD-K09790412-001-03-8:10	CGS001_A549_96H:PRKACA:1	0.683	0.328	0.408	0.3281
CPC014_A549_6H:BRD-K09790412-001-03-8:10	CGS001_A549_96H:PRKACA:1	0.3221	-0.3075	-0.3992	-0.3086
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000381659:1	0.499	-0.0118	-0.0154	-0.0122
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000382327:1	0.5215	0.0016	0.0236	0.0013
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000382440:1	0.5174	0.1061	0.0706	0.1057
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000006292:1	0.4734	0.0456	-0.0016	0.0454
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000195066:1	0.501	0.0658	0.0486	0.0653
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000196918:1	0.4847	0.0045	-0.0247	0.0043
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000196844:1	0.4908	0.0617	0.0221	0.0614
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000006291:1	0.453	-0.0754	-0.0788	-0.0755
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000006289:1	0.4417	-0.0903	-0.1068	-0.0906
ASG002_A549_24H:K23	TA.KD010_A549_96H:TRCN0000231130:1	0.4663	-0.0368	-0.0717	-0.0369
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000381659:1	0.5031	0.0453	0.0217	0.0423
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000382327:1	0.5051	-0.0081	-0.0047	-0.01
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000382440:1	0.5153	0.0171	0.0295	0.0147
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000006292:1	0.4755	-0.0267	-0.0432	-0.0279
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000195066:1	0.4908	0.0201	0.0033	0.017
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000196918:1	0.4703	-0.0287	-0.0546	-0.0301
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000196844:1	0.4765	0.0395	-0.0119	0.0379
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000006291:1	0.4734	-0.0106	-0.0553	-0.0119
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000006289:1	0.456	-0.093	-0.0967	-0.0969
ASG003_A549_24H:H16	TA.KD010_A549_96H:TRCN0000231130:1	0.499	0.0444	-0.0134	0.0432
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000381659:1	0.4888	-0.0051	-0.0127	-0.0089
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000382327:1	0.5153	0.0951	0.0834	0.0922
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000382440:1	0.5276	0.1151	0.0996	0.1117
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000006292:1	0.4427	-0.0458	-0.0898	-0.0474
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000195066:1	0.4928	0.0117	0.031	0.0076
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000196918:1	0.4642	-0.0314	-0.0838	-0.0333
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000196844:1	0.4151	-0.0547	-0.1223	-0.0566
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000006291:1	0.4121	-0.1785	-0.2149	-0.1798
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000006289:1	0.3906	-0.151	-0.224	-0.156
ASG003_A549_48H:H18	TA.KD010_A549_96H:TRCN0000231130:1	0.4213	-0.0811	-0.1579	-0.0825
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000381659:1	0.4867	0.0174	-0.0475	0.013
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000382327:1	0.5378	0.0363	0.061	0.0332
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000382440:1	0.4959	0.0238	-0.011	0.0202
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000006292:1	0.4724	0.0063	-0.0365	0.0043
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000195066:1	0.544	0.0966	0.1232	0.0914
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000196918:1	0.4663	-0.041	-0.0863	-0.0431
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000196844:1	0.4949	0.1343	0.0184	0.1314
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000006291:1	0.4427	-0.1092	-0.1394	-0.1109
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000006289:1	0.499	0.0198	0.0142	0.013
REP.A005_A549_24H:I22	TA.KD010_A549_96H:TRCN0000231130:1	0.4867	0.017	-0.0249	0.0151
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000381659:1	0.4796	0.0209	-0.016	0.0164
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000382327:1	0.502	0.0362	0.0347	0.033
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000382440:1	0.4755	-0.0405	-0.0617	-0.0439
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000006292:1	0.4949	0.0352	0.0225	0.0331
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000195066:1	0.547	0.1049	0.1139	0.0997
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000196918:1	0.4366	-0.0365	-0.0747	-0.0387
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000196844:1	0.4632	-0.022	-0.0491	-0.0243
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000006291:1	0.4683	0.0073	-0.0626	0.0052
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000006289:1	0.5184	0.0176	0.037	0.0106
REP.A005_A549_24H:I19	TA.KD010_A549_96H:TRCN0000231130:1	0.5123	0.096	0.0532	0.0939
REP.A005_A375_24H:I19	CGS001_A375_96H:BRAF:1	0.7096	0.6016	0.5931	0.6011
REP.B005_A375_24H:I19	CGS001_A375_96H:BRAF:1	0.727	0.5892	0.594	0.5892
REP.A005_A375_24H:I24	CGS001_A375_96H:BRAF:1	0.7321	0.6619	0.6667	0.6619
REP.A005_A375_24H:I22	CGS001_A375_96H:BRAF:1	0.7372	0.646	0.655	0.646
REP.A005_A375_24H:I20	CGS001_A375_96H:BRAF:1	0.7249	0.6092	0.6116	0.609
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000381659:1	0.501	-0.0129	-0.023	-0.0147
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000382327:1	0.5276	0.0833	0.1097	0.0819
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000382440:1	0.5276	0.1168	0.0928	0.1152
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000006292:1	0.4928	0.0023	-0.0159	0.0015
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000195066:1	0.4867	0.014	0.013	0.012
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000196918:1	0.4806	-0.0329	-0.0861	-0.0338
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000196844:1	0.4847	0.0344	-0.0109	0.0333
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000006291:1	0.4387	-0.1373	-0.1614	-0.138
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000006289:1	0.456	-0.101	-0.1348	-0.1033
LKCP001_A549_48H:D14	TA.KD010_A549_96H:TRCN0000231130:1	0.4458	-0.0357	-0.1197	-0.0364
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000381659:1	0.4724	-0.0105	-0.0541	-0.009
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000382327:1	0.5542	0.0844	0.0993	0.0854
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000382440:1	0.4734	-0.0293	-0.045	-0.028
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000006292:1	0.4796	-0.0207	-0.0352	-0.02
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000195066:1	0.5174	-0.0255	-0.0023	-0.0238
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000196918:1	0.4744	-0.0361	-0.0517	-0.0353
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000196844:1	0.4949	0.0632	0.037	0.064
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000006291:1	0.4816	0.0089	-0.0308	0.0096
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000006289:1	0.4928	-0.0295	-0.0228	-0.027
LKCP001_A549_24H:D13	TA.KD010_A549_96H:TRCN0000231130:1	0.4949	0.0943	0.0394	0.0948
PBIOA019_A375_24H:M04	CGS001_A375_96H:BRAF:1	0.7413	0.6211	0.6347	0.6212
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000381659:1	0.4888	-0.0159	-0.041	-0.0164
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000382327:1	0.5194	0.0284	0.0417	0.028
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000382440:1	0.5276	0.1084	0.1014	0.1078
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000006292:1	0.4877	0.0046	-0.0245	0.0043
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000195066:1	0.499	0.0207	0.0148	0.0201
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000196918:1	0.4765	-0.0173	-0.0404	-0.0176
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000196844:1	0.5031	0.0704	0.0036	0.07
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000006291:1	0.4673	-0.0538	-0.0612	-0.054
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000006289:1	0.4826	-0.0532	-0.0822	-0.0539
PBIOA019_A549_24H:M06	TA.KD010_A549_96H:TRCN0000231130:1	0.4826	0.0284	-0.0152	0.0281
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000381659:1	0.4867	-0.0116	-0.0061	-0.014
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000382327:1	0.5112	0.029	0.0402	0.0273
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000382440:1	0.5184	0.0827	0.0579	0.0806
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000006292:1	0.5337	0.0774	0.0695	0.0762
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000195066:1	0.5174	0.0108	0.0291	0.0081
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000196918:1	0.4867	0.0194	-0.0006	0.0181
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000196844:1	0.5215	0.1458	0.1061	0.1443
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000006291:1	0.4693	-0.0305	-0.0377	-0.0316
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000006289:1	0.5092	0.0213	0.0096	0.0174
PBIOA019_A549_24H:M04	TA.KD010_A549_96H:TRCN0000231130:1	0.4744	0.0547	-0.0068	0.0537
ASG003_A549_48H:E19	TA.KD010_A549_96H:TRCN0000422093:1	0.4652	-0.057	-0.0679	-0.0637
ASG003_A549_48H:E19	TA.KD010_A549_96H:TRCN0000426979:1	0.4151	-0.1598	-0.2002	-0.1584
ASG003_A549_48H:E19	TA.KD010_A549_96H:TRCN0000199017:1	0.4233	-0.0811	-0.1492	-0.0837
ASG003_A549_48H:E19	TA.KD010_A549_96H:TRCN0000418856:1	0.407	-0.1437	-0.2083	-0.1463
ASG003_A549_48H:E19	TA.KD010_A549_96H:TRCN0000431959:1	0.4479	-0.0659	-0.0949	-0.0685
ASG003_A549_48H:E19	TA.KD010_A549_96H:TRCN0000432650:1	0.4642	-0.053	-0.06	-0.0581
ASG002_A549_24H:F19	TA.KD010_A549_96H:TRCN0000422093:1	0.502	0.0673	0.0663	0.0667
ASG002_A549_24H:F19	TA.KD010_A549_96H:TRCN0000426979:1	0.4663	-0.0551	-0.0508	-0.0551
ASG002_A549_24H:F19	TA.KD010_A549_96H:TRCN0000199017:1	0.4663	-0.0647	-0.0578	-0.0648
ASG002_A549_24H:F19	TA.KD010_A549_96H:TRCN0000418856:1	0.4458	-0.0767	-0.0974	-0.0769
ASG002_A549_24H:F19	TA.KD010_A549_96H:TRCN0000431959:1	0.5235	0.175	0.1392	0.1747
ASG002_A549_24H:F19	TA.KD010_A549_96H:TRCN0000432650:1	0.5092	0.1252	0.1018	0.1247
LJP009_A549_24H:I20	TA.KD010_A549_96H:TRCN0000422093:1	0.4683	-0.0063	-0.0437	-0.0079
LJP009_A549_24H:I20	TA.KD010_A549_96H:TRCN0000426979:1	0.4274	-0.0841	-0.105	-0.0839
LJP009_A549_24H:I20	TA.KD010_A549_96H:TRCN0000199017:1	0.4366	-0.0722	-0.1058	-0.0729
LJP009_A549_24H:I20	TA.KD010_A549_96H:TRCN0000418856:1	0.4315	-0.0591	-0.1196	-0.0599
LJP009_A549_24H:I20	TA.KD010_A549_96H:TRCN0000431959:1	0.4847	0.0282	0.0158	0.0274
LJP009_A549_24H:I20	TA.KD010_A549_96H:TRCN0000432650:1	0.4847	0.044	0.0061	0.0426
LJP009_A549_24H:I19	TA.KD010_A549_96H:TRCN0000422093:1	0.5297	0.107	0.1123	0.107
LJP009_A549_24H:I19	TA.KD010_A549_96H:TRCN0000426979:1	0.4468	-0.1099	-0.1382	-0.1099
LJP009_A549_24H:I19	TA.KD010_A549_96H:TRCN0000199017:1	0.4407	-0.1028	-0.1062	-0.1027
LJP009_A549_24H:I19	TA.KD010_A549_96H:TRCN0000418856:1	0.4284	-0.1247	-0.1523	-0.1245
LJP009_A549_24H:I19	TA.KD010_A549_96H:TRCN0000431959:1	0.5225	0.1417	0.1416	0.1418
LJP009_A549_24H:I19	TA.KD010_A549_96H:TRCN0000432650:1	0.5102	0.1246	0.0875	0.1247
REP.A005_A549_24H:P07	TA.KD010_A549_96H:TRCN0000422093:1	0.5706	0.1484	0.1533	0.1462
REP.A005_A549_24H:P07	TA.KD010_A549_96H:TRCN0000426979:1	0.545	0.069	0.1106	0.0691
REP.A005_A549_24H:P07	TA.KD010_A549_96H:TRCN0000199017:1	0.5041	0.0696	0.0689	0.0688
REP.A005_A549_24H:P07	TA.KD010_A549_96H:TRCN0000418856:1	0.4959	-0.0243	-0.0361	-0.0251
REP.A005_A549_24H:P07	TA.KD010_A549_96H:TRCN0000431959:1	0.5389	0.0674	0.065	0.0666
REP.A005_A549_24H:P07	TA.KD010_A549_96H:TRCN0000432650:1	0.5552	0.1202	0.1253	0.1186
REP.A005_A549_24H:P08	TA.KD010_A549_96H:TRCN0000422093:1	0.4744	-0.0344	-0.0601	-0.0378
REP.A005_A549_24H:P08	TA.KD010_A549_96H:TRCN0000426979:1	0.4571	-0.0673	-0.0748	-0.067
REP.A005_A549_24H:P08	TA.KD010_A549_96H:TRCN0000199017:1	0.5041	0.0042	0.036	0.0027
REP.A005_A549_24H:P08	TA.KD010_A549_96H:TRCN0000418856:1	0.502	0.0037	0.014	0.0019
REP.A005_A549_24H:P08	TA.KD010_A549_96H:TRCN0000431959:1	0.4755	0.0102	-0.0259	0.0087
REP.A005_A549_24H:P08	TA.KD010_A549_96H:TRCN0000432650:1	0.498	0.0411	0.0287	0.0383
PBIOA015_PC3_24H:G13	CGS001_PC3_144H:HSP90AA1:2	0.4969	0.0011	-0.0086	0.0012
PBIOA013_PC3_24H:G13	CGS001_PC3_144H:HSP90AA1:2	0.5143	0.0077	0.007	0.0078
PBIOA020_PC3_24H:G13	CGS001_PC3_144H:HSP90AA1:2	0.5123	0.0152	0.0191	0.0152
PBIOA019_PC3_24H:G13	CGS001_PC3_144H:HSP90AA1:2	0.4857	-0.0244	-0.0216	-0.0246
PBIOA016_PC3_24H:G13	CGS001_PC3_144H:HSP90AA1:2	0.4928	0.0116	-0.0078	0.0115
PBIOA021_PC3_24H:G13	CGS001_PC3_144H:HSP90AA1:2	0.4877	0.0283	0.0128	0.0281
PBIOA022_HCC515_24H:N13	CGS001_HCC515_96H:CASP3:2	0.4499	-0.0261	-0.1019	-0.0261
MOA001_A549_24H:E19	CGS001_A549_96H:STAT1:1	0.5869	0.2052	0.2405	0.2046
PBIOA022_HCC515_24H:N13	CGS001_HCC515_96H:STAT1:2	0.5092	0.1281	0.0831	0.1277
CPC020_PC3_24H:BRD-K11558771-001-07-1:10	EKW001_PC3_120H:TRCN0000314976:2	0.4703	-0.0254	-0.069	-0.0249
CPC020_PC3_24H:BRD-K11558771-001-07-1:10	EKW001_PC3_120H:TRCN0000004840:2	0.5736	0.228	0.2348	0.232
CPC020_PC3_24H:BRD-K11558771-001-07-1:10	CGS001_PC3_144H:HDAC6:2	0.4755	-0.0645	-0.0863	-0.0589
