Sample1	Sample2	CMap2020-Overexpression_48h
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	0.4528
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	0.4864
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	0.3385
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	0.5175
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	0.4667
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	0.5075
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	0.308
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	0.4942
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.5266
HSF002_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.5028
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	0.5046
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	0.3016
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	0.4709
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	0.3769
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	0.5553
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	0.3339
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	0.4668
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.4792
HSF017_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.4034
HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	0.4344
HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	0.5918
HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	0.5652
HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	0.5769
HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	0.3479
HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	0.5898
HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.5949
HSF020_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.616
HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	0.5461
HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	0.5663
HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	0.3239
HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	0.0761
HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	0.526
HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.3993
HSF018_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.2466
HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	0.5705
HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	0.6249
HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	0.4328
HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	0.638
HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.6823
HSF022_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.59
HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	0.4569
HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	0.3199
HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	0.5239
HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.5462
HSF006_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.487
HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	0.4257
HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	0.6064
HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.7119
HSF011_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.6029
HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	0.2288
HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.3852
HSF012_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.3945
HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	0.6331
HSF027_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.5301
HSF004_HEK293T_48H:CMAP-HSF-EGR1:200	HSF025_HEK293T_48H:CMAP-HSF-EGR1:200	0.6718
HSF006_HEK293T_48H:CMAP-HSF-HSF1:200	HSF018_HEK293T_48H:CMAP-HSF-HSF1:200	0.5647
HSF006_HEK293T_48H:CMAP-HSF-HSF1:200	HSF024_HEK293T_48H:CMAP-HSF-HSF1:200	0.5862
HSF006_HEK293T_48H:CMAP-HSF-HSF1:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1:200	0.6103
HSF006_HEK293T_48H:CMAP-HSF-HSF1:200	HSF017_HEK293T_48H:CMAP-HSF-HSF1:200	0.5422
HSF006_HEK293T_48H:CMAP-HSF-HSF1:200	HSF004_HEK293T_48H:CMAP-HSF-HSF1:200	0.4157
HSF006_HEK293T_48H:CMAP-HSF-HSF1:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1:200	0.4584
HSF006_HEK293T_48H:CMAP-HSF-HSF1:200	HSF025_HEK293T_48H:CMAP-HSF-HSF1:200	0.482
HSF006_HEK293T_48H:CMAP-HSF-HSF1:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1:200	0.5315
HSF018_HEK293T_48H:CMAP-HSF-HSF1:200	HSF024_HEK293T_48H:CMAP-HSF-HSF1:200	0.6455
HSF018_HEK293T_48H:CMAP-HSF-HSF1:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1:200	0.4703
HSF018_HEK293T_48H:CMAP-HSF-HSF1:200	HSF017_HEK293T_48H:CMAP-HSF-HSF1:200	0.5424
HSF018_HEK293T_48H:CMAP-HSF-HSF1:200	HSF004_HEK293T_48H:CMAP-HSF-HSF1:200	0.5763
HSF018_HEK293T_48H:CMAP-HSF-HSF1:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1:200	0.5626
HSF018_HEK293T_48H:CMAP-HSF-HSF1:200	HSF025_HEK293T_48H:CMAP-HSF-HSF1:200	0.5727
HSF018_HEK293T_48H:CMAP-HSF-HSF1:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1:200	0.5526
HSF024_HEK293T_48H:CMAP-HSF-HSF1:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1:200	0.5363
HSF024_HEK293T_48H:CMAP-HSF-HSF1:200	HSF017_HEK293T_48H:CMAP-HSF-HSF1:200	0.4607
HSF024_HEK293T_48H:CMAP-HSF-HSF1:200	HSF004_HEK293T_48H:CMAP-HSF-HSF1:200	0.5111
HSF024_HEK293T_48H:CMAP-HSF-HSF1:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1:200	0.5273
HSF024_HEK293T_48H:CMAP-HSF-HSF1:200	HSF025_HEK293T_48H:CMAP-HSF-HSF1:200	0.6046
HSF024_HEK293T_48H:CMAP-HSF-HSF1:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1:200	0.513
HSF011_HEK293T_48H:CMAP-HSF-HSF1:200	HSF017_HEK293T_48H:CMAP-HSF-HSF1:200	0.5318
HSF011_HEK293T_48H:CMAP-HSF-HSF1:200	HSF004_HEK293T_48H:CMAP-HSF-HSF1:200	0.5163
HSF011_HEK293T_48H:CMAP-HSF-HSF1:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1:200	0.5446
HSF011_HEK293T_48H:CMAP-HSF-HSF1:200	HSF025_HEK293T_48H:CMAP-HSF-HSF1:200	0.47
