Sample1	Sample2	CMap2020-Overexpression_48h
HSF011_HEK293T_48H:CMAP-HSF-HSF1:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1:200	0.5731
HSF017_HEK293T_48H:CMAP-HSF-HSF1:200	HSF004_HEK293T_48H:CMAP-HSF-HSF1:200	0.319
HSF017_HEK293T_48H:CMAP-HSF-HSF1:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1:200	0.4457
HSF017_HEK293T_48H:CMAP-HSF-HSF1:200	HSF025_HEK293T_48H:CMAP-HSF-HSF1:200	0.3666
HSF017_HEK293T_48H:CMAP-HSF-HSF1:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1:200	0.5775
HSF004_HEK293T_48H:CMAP-HSF-HSF1:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1:200	0.6141
HSF004_HEK293T_48H:CMAP-HSF-HSF1:200	HSF025_HEK293T_48H:CMAP-HSF-HSF1:200	0.6728
HSF004_HEK293T_48H:CMAP-HSF-HSF1:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1:200	0.6131
HSF022_HEK293T_48H:CMAP-HSF-HSF1:200	HSF025_HEK293T_48H:CMAP-HSF-HSF1:200	0.5176
HSF022_HEK293T_48H:CMAP-HSF-HSF1:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1:200	0.5738
HSF025_HEK293T_48H:CMAP-HSF-HSF1:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1:200	0.5917
HSF006_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF001_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	-0.0554
HSF006_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF031_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5105
HSF006_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF017_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4853
HSF006_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF024_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5317
HSF006_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF018_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.3685
HSF006_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5661
HSF006_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5611
HSF006_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.389
HSF001_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF031_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.0484
HSF001_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF017_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.0523
HSF001_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF024_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	-0.0202
HSF001_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF018_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.2688
HSF001_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	-0.2017
HSF001_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.1364
HSF001_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.2269
HSF031_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF017_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4821
HSF031_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF024_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4554
HSF031_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF018_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4481
HSF031_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4854
HSF031_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5468
HSF031_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.3947
HSF017_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF024_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5249
HSF017_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF018_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4675
HSF017_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4236
HSF017_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4879
HSF017_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4087
HSF024_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF018_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4884
HSF024_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4634
HSF024_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5066
HSF024_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.395
HSF018_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF022_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.1908
HSF018_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5149
HSF018_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5405
HSF022_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF027_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.5103
HSF022_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.2893
HSF027_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	HSF011_HEK293T_48H:CMAP-HSF-HSF1_H2F2:200	0.4545
HSF006_HEK293T_48H:CMAP-HSF-IRF2:200	HSF027_HEK293T_48H:CMAP-HSF-IRF2:200	0.5227
HSF006_HEK293T_48H:CMAP-HSF-IRF2:200	HSF004_HEK293T_48H:CMAP-HSF-IRF2:200	0.498
HSF006_HEK293T_48H:CMAP-HSF-IRF2:200	HSF018_HEK293T_48H:CMAP-HSF-IRF2:200	0.5152
HSF006_HEK293T_48H:CMAP-HSF-IRF2:200	HSF017_HEK293T_48H:CMAP-HSF-IRF2:200	0.4093
HSF006_HEK293T_48H:CMAP-HSF-IRF2:200	HSF022_HEK293T_48H:CMAP-HSF-IRF2:200	0.4814
HSF006_HEK293T_48H:CMAP-HSF-IRF2:200	HSF020_HEK293T_48H:CMAP-HSF-IRF2:200	0.3341
HSF006_HEK293T_48H:CMAP-HSF-IRF2:200	HSF011_HEK293T_48H:CMAP-HSF-IRF2:200	0.6354
HSF027_HEK293T_48H:CMAP-HSF-IRF2:200	HSF004_HEK293T_48H:CMAP-HSF-IRF2:200	0.5121
HSF027_HEK293T_48H:CMAP-HSF-IRF2:200	HSF018_HEK293T_48H:CMAP-HSF-IRF2:200	0.5927
HSF027_HEK293T_48H:CMAP-HSF-IRF2:200	HSF017_HEK293T_48H:CMAP-HSF-IRF2:200	0.4841
HSF027_HEK293T_48H:CMAP-HSF-IRF2:200	HSF022_HEK293T_48H:CMAP-HSF-IRF2:200	0.5239
HSF027_HEK293T_48H:CMAP-HSF-IRF2:200	HSF020_HEK293T_48H:CMAP-HSF-IRF2:200	0.3398
HSF027_HEK293T_48H:CMAP-HSF-IRF2:200	HSF011_HEK293T_48H:CMAP-HSF-IRF2:200	0.56
HSF004_HEK293T_48H:CMAP-HSF-IRF2:200	HSF018_HEK293T_48H:CMAP-HSF-IRF2:200	0.3967
HSF004_HEK293T_48H:CMAP-HSF-IRF2:200	HSF017_HEK293T_48H:CMAP-HSF-IRF2:200	0.2385
HSF004_HEK293T_48H:CMAP-HSF-IRF2:200	HSF022_HEK293T_48H:CMAP-HSF-IRF2:200	0.5973
HSF004_HEK293T_48H:CMAP-HSF-IRF2:200	HSF020_HEK293T_48H:CMAP-HSF-IRF2:200	0.345
HSF004_HEK293T_48H:CMAP-HSF-IRF2:200	HSF011_HEK293T_48H:CMAP-HSF-IRF2:200	0.4741
HSF018_HEK293T_48H:CMAP-HSF-IRF2:200	HSF017_HEK293T_48H:CMAP-HSF-IRF2:200	0.6244
HSF018_HEK293T_48H:CMAP-HSF-IRF2:200	HSF022_HEK293T_48H:CMAP-HSF-IRF2:200	0.4901
HSF018_HEK293T_48H:CMAP-HSF-IRF2:200	HSF020_HEK293T_48H:CMAP-HSF-IRF2:200	0.3346
HSF018_HEK293T_48H:CMAP-HSF-IRF2:200	HSF011_HEK293T_48H:CMAP-HSF-IRF2:200	0.5524
HSF017_HEK293T_48H:CMAP-HSF-IRF2:200	HSF022_HEK293T_48H:CMAP-HSF-IRF2:200	0.2752
HSF017_HEK293T_48H:CMAP-HSF-IRF2:200	HSF020_HEK293T_48H:CMAP-HSF-IRF2:200	0.0883
HSF017_HEK293T_48H:CMAP-HSF-IRF2:200	HSF011_HEK293T_48H:CMAP-HSF-IRF2:200	0.3968
HSF022_HEK293T_48H:CMAP-HSF-IRF2:200	HSF020_HEK293T_48H:CMAP-HSF-IRF2:200	0.3867
HSF022_HEK293T_48H:CMAP-HSF-IRF2:200	HSF011_HEK293T_48H:CMAP-HSF-IRF2:200	0.4535
HSF020_HEK293T_48H:CMAP-HSF-IRF2:200	HSF011_HEK293T_48H:CMAP-HSF-IRF2:200	0.3715
HSF027_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF018_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.4257
HSF027_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF031_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.352
HSF027_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF006_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.3038
HSF027_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF025_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5652
HSF027_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF024_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.3123
HSF027_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF017_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.3488
HSF018_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF031_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5694
HSF018_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF006_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5361
HSF018_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF025_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.4879
HSF018_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF024_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5248
HSF018_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF017_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5149
HSF031_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF006_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5267
HSF031_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF025_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.4441
HSF031_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF024_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5045
HSF031_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF017_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.554
HSF006_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF025_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.3512
HSF006_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF024_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5647
HSF006_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF017_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.5399
HSF025_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF024_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.449
HSF025_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF017_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.4751
HSF024_HEK293T_48H:CMAP-HSF-NFE2L2:200	HSF017_HEK293T_48H:CMAP-HSF-NFE2L2:200	0.551
