Sample1	Sample2	dose0.01uM-1uM_time6
HOG001_A549_6H:BRD-A13122391-001-01-9:0.1234	HOG001_A549_6H:BRD-A13122391-001-01-9:0.0412	0.636
REP.A001_HELA_3H:G05	REP.A001_HELA_3H:G04	0.6536
EMU001_THP1_3H:F09	EMU001_THP1_6H:F09	0.4757
EMU001_TMD8_6H:F09	EMU001_TMD8_3H:F09	0.66
HOG003_A549_6H:BRD-A71390734-001-01-7:0.0412	HOG003_A549_6H:BRD-A71390734-001-01-7:0.3704	0.5163
HOG003_A549_6H:BRD-A71390734-001-01-7:0.0412	HOG003_A549_6H:BRD-A71390734-001-01-7:0.1234	0.75
HOG003_A549_6H:BRD-A71390734-001-01-7:0.3704	HOG003_A549_6H:BRD-A71390734-001-01-7:0.1234	0.7771
EMU001_BJAB_3H:E09	EMU001_BJAB_6H:E09	0.6597
EMU001_TMD8_3H:E10	EMU001_TMD8_6H:E09	0.3854
EMU001_TMD8_3H:E10	EMU001_TMD8_3H:E09	0.3534
EMU001_TMD8_6H:E09	EMU001_TMD8_3H:E09	0.5815
HOG002_MCF7_6H:BRD-A79768653-001-02-1:0.3704	HOG002_MCF7_6H:BRD-A79768653-001-02-1:0.1235	0.3514
HOG001_A549_6H:BRD-A85860691-001-02-2:0.3704	HOG001_A549_6H:BRD-A85860691-001-02-2:0.1234	0.54
HOG003_A549_6H:BRD-K06792661-001-01-9:0.1235	HOG003_A549_6H:BRD-K06792661-001-01-9:0.3704	0.7078
HOG003_A549_6H:BRD-K06792661-001-01-9:0.1235	HOG003_A549_6H:BRD-K06792661-001-01-9:0.0412	0.0619
HOG003_A549_6H:BRD-K06792661-001-01-9:0.3704	HOG003_A549_6H:BRD-K06792661-001-01-9:0.0412	0.2247
HOG003_MCF7_6H:BRD-K06792661-001-01-9:0.3704	HOG003_MCF7_6H:BRD-K06792661-001-01-9:0.1235	0.5091
HOG002_A549_6H:BRD-K12184916-001-04-8:0.1235	HOG002_A549_6H:BRD-K12184916-001-04-8:0.3704	0.654
AICHI002_K562_4H:A21	AICHI002_K562_4H:A22	0.532
HOG002_A549_6H:BRD-K21680192-300-10-2:0.3704	HOG002_A549_6H:BRD-K21680192-300-10-2:0.1234	0.6407
HOG002_A549_6H:BRD-K21680192-300-10-2:0.3704	HOG002_A549_6H:BRD-K21680192-300-10-2:0.0412	0.6347
HOG002_A549_6H:BRD-K21680192-300-10-2:0.1234	HOG002_A549_6H:BRD-K21680192-300-10-2:0.0412	0.5153
AICHI001_BJAB_4H:K09	AICHI001_BJAB_4H:K10	0.5843
EMU001_BJAB_6H:C22	EMU001_BJAB_3H:C21	0.519
EMU001_BJAB_6H:C22	EMU001_BJAB_6H:C23	0.6771
EMU001_BJAB_6H:C22	EMU001_BJAB_6H:C21	0.5833
