Sample1	Sample2	dose0.01uM-1uM_time6
EMU001_BJAB_3H:C21	EMU001_BJAB_6H:C23	0.3408
EMU001_BJAB_3H:C21	EMU001_BJAB_6H:C21	0.7126
EMU001_BJAB_6H:C23	EMU001_BJAB_6H:C21	0.3314
EMU001_MINO_6H:C22	EMU001_MINO_3H:C22	0.7098
EMU001_MINO_6H:C22	EMU001_MINO_6H:C21	0.7929
EMU001_MINO_6H:C22	EMU001_MINO_3H:C21	0.6441
EMU001_MINO_3H:C22	EMU001_MINO_6H:C21	0.5751
EMU001_MINO_3H:C22	EMU001_MINO_3H:C21	0.6931
EMU001_MINO_6H:C21	EMU001_MINO_3H:C21	0.7438
AICHI001_OCILY19_4H:K10	AICHI001_OCILY19_4H:K09	0.4935
AICHI002_OCILY19_4H:K09	AICHI002_OCILY19_4H:K10	0.2603
AICHI001_THP1_4H:K09	AICHI001_THP1_4H:K11	0.2385
AICHI001_THP1_4H:K09	AICHI001_THP1_4H:K10	0.5745
AICHI001_THP1_4H:K11	AICHI001_THP1_4H:K10	0.4693
EMU001_THP1_3H:C21	EMU001_THP1_6H:C23	0.3849
EMU001_THP1_3H:C21	EMU001_THP1_6H:C21	0.6263
EMU001_THP1_3H:C21	EMU001_THP1_6H:C22	0.4882
EMU001_THP1_3H:C21	EMU001_THP1_3H:C22	0.591
EMU001_THP1_6H:C23	EMU001_THP1_6H:C21	0.5145
EMU001_THP1_6H:C23	EMU001_THP1_6H:C22	0.7896
EMU001_THP1_6H:C23	EMU001_THP1_3H:C22	0.6252
EMU001_THP1_6H:C21	EMU001_THP1_6H:C22	0.7158
EMU001_THP1_6H:C21	EMU001_THP1_3H:C22	0.4381
EMU001_THP1_6H:C22	EMU001_THP1_3H:C22	0.6279
EMU001_TMD8_3H:C21	EMU001_TMD8_3H:C22	0.5939
EMU001_TMD8_3H:C21	EMU001_TMD8_6H:C21	0.706
EMU001_TMD8_3H:C21	EMU001_TMD8_6H:C22	0.5249
EMU001_TMD8_3H:C22	EMU001_TMD8_6H:C21	0.5952
EMU001_TMD8_3H:C22	EMU001_TMD8_6H:C22	0.6756
EMU001_TMD8_6H:C21	EMU001_TMD8_6H:C22	0.7006
LJP001_HS578T_6H:BRD-K38615104-001-08-4:0.4	LJP001_HS578T_6H:BRD-K38615104-001-08-4:0.08	0.077
LJP002_SKBR3_6H:BRD-K41859756-001-03-5:0.4	LJP002_SKBR3_6H:BRD-K41859756-001-03-5:0.08	0.1217
EMU001_MINO_3H:G21	EMU001_MINO_6H:G21	0.5867
LJP002_SKBR3_6H:BRD-K67868012-001-02-7:0.4	LJP002_SKBR3_6H:BRD-K67868012-001-02-7:0.08	0.1171
HOG003_A549_6H:BRD-K68202742-001-10-8:0.0412	HOG003_A549_6H:BRD-K68202742-001-10-8:0.1235	0.7083
AICHI002_OCILY19_4H:N10	AICHI002_OCILY19_4H:N09	0.5787
AICHI002_TMD8_4H:N11	AICHI002_TMD8_4H:N09	0.1524
HOG002_A549_6H:BRD-K76674262-001-02-5:0.0412	HOG002_A549_6H:BRD-K76674262-001-02-5:0.1235	0.8609
HOG002_MCF7_6H:BRD-K76674262-001-02-5:0.1235	HOG002_MCF7_6H:BRD-K76674262-001-02-5:0.3704	0.8683
HOG002_MCF7_6H:BRD-K76674262-001-02-5:0.1235	HOG002_MCF7_6H:BRD-K76674262-001-02-5:0.0412	0.8717
HOG002_MCF7_6H:BRD-K76674262-001-02-5:0.3704	HOG002_MCF7_6H:BRD-K76674262-001-02-5:0.0412	0.8583
EMU001_BJAB_6H:O03	EMU001_BJAB_6H:O04	0.7648
HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.3704	HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.1235	0.4872
HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.3704	HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.1235	0.4337
ERG015_VCAP_6H:BRD-K81418486-001-15-2:0.4	ERG015_VCAP_6H:BRD-K81418486-001-15-2:0.08	0.4941
HOG003_A549_6H:BRD-K87909389-001-01-2:0.1235	HOG003_A549_6H:BRD-K87909389-001-01-2:0.0412	0.3419
HOG002_MCF7_6H:BRD-K88378636-001-02-8:0.0412	HOG002_MCF7_6H:BRD-K88378636-001-02-8:0.3704	0.3693
AICHI001_BJAB_4H:P03	AICHI001_BJAB_4H:P04	0.4702
AICHI001_THP1_4H:P05	AICHI001_THP1_4H:P04	0.6036
AICHI001_THP1_4H:P05	AICHI001_THP1_4H:P03	0.3021
AICHI001_THP1_4H:P04	AICHI001_THP1_4H:P03	0.5092
AICHI001_TMD8_4H:P03	AICHI001_TMD8_4H:P04	0.4139
LJP001_HS578T_6H:BRD-K92571446-001-01-4:0.08	LJP001_HS578T_6H:BRD-K92571446-001-01-4:0.4	0.7369
LJP001_SKBR3_6H:BRD-K92571446-001-01-4:0.4	LJP001_SKBR3_6H:BRD-K92571446-001-01-4:0.08	0.4938
