Sample1	Sample2	dose1uM-100uM_time24
HOG002_MCF7_24H:BRD-A02481876-001-09-9:3.33	HOG002_MCF7_24H:BRD-A02481876-001-09-9:10	0.3676
ASG003_WA09.AST_24H:L14	ASG003_WA09.AST_24H:L13	0.7884
ERG005_VCAP_24H:BRD-A06304526-001-01-0:20	ERG005_VCAP_24H:BRD-A06304526-001-01-0:5	0.1648
MOAR006_A375_24H:M07	MOAR006_A375_24H:M08	0.8578
PBIOA016_HA1E_24H:F01	PBIOA016_HA1E_24H:F03	0.5057
PBIOA016_HCC515_24H:F01	PBIOA016_HCC515_24H:F02	0.5319
PBIOA016_HEPG2_24H:F01	PBIOA016_HEPG2_24H:F03	0.7464
PBIOA016_PC3_24H:F01	PBIOA016_PC3_24H:F02	0.4981
PBIOA004_XC.R10_24H:P15	PBIOA004_XC.R10_24H:P13	0.6361
CRCGN012_HEPG2_24H:BRD-A06416737:20.5	CRCGN012_HEPG2_24H:BRD-A06416737:41	0.3847
CRCGN017_MCF10A.WT.HP_24H:BRD-A06416737:34.4973	CRCGN017_MCF10A.WT.HP_24H:BRD-A06416737:103.492	0.1816
CRCGN009_HEPG2_24H:BRD-A08316103:5.2088	CRCGN009_HEPG2_24H:BRD-A08316103:20.8352	0.2929
CRCGN009_HEPG2_24H:BRD-A08316103:5.2088	CRCGN009_HEPG2_24H:BRD-A08316103:10.4176	0.5767
CRCGN009_HEPG2_24H:BRD-A08316103:20.8352	CRCGN009_HEPG2_24H:BRD-A08316103:10.4176	0.478
CRCGN012_HEPG2_24H:BRD-A08316103:40.2	CRCGN012_HEPG2_24H:BRD-A08316103:20.1	0.5458
CRCGN012_HEPG2_24H:BRD-A08316103:40.2	CRCGN012_HEPG2_24H:BRD-A08316103:10.05	0.2004
CRCGN012_HEPG2_24H:BRD-A08316103:20.1	CRCGN012_HEPG2_24H:BRD-A08316103:10.05	0.5448
MOAR005_A375_24H:P22	MOAR005_A375_24H:P23	0.2859
LCP001_MCF10A.KRAS.HG_24H:J14	LCP001_MCF10A.KRAS.HG_24H:J13	-0.2058
PBIOA008_XC.L10_24H:M10	PBIOA008_XC.L10_24H:M11	0.4762
PBIOA019_A375_24H:L07	PBIOA019_A375_24H:L08	0.7921
PBIOA019_A549_24H:L08	PBIOA019_A549_24H:L07	0.7539
PBIOA019_HA1E_24H:L08	PBIOA019_HA1E_24H:L07	0.8609
PBIOA019_HEPG2_24H:L07	PBIOA019_HEPG2_24H:L09	0.7394
PBIOA019_HT29_24H:L07	PBIOA019_HT29_24H:L08	0.1309
PBIOA019_PC3_24H:L07	PBIOA019_PC3_24H:L09	0.719
PBIOA019_PC3_24H:L07	PBIOA019_PC3_24H:L08	0.781
PBIOA019_PC3_24H:L09	PBIOA019_PC3_24H:L08	0.7908
PBIOA004_XC.R10_24H:H16	PBIOA004_XC.R10_24H:H17	0.4643
PBIOA007_XC.R10_24H:O16	PBIOA007_XC.R10_24H:O17	0.705
PBIOA007_XC.R10_24H:O16	PBIOA007_XC.R10_24H:O18	0.4591
PBIOA007_XC.R10_24H:O17	PBIOA007_XC.R10_24H:O18	0.5596
PBIOA022_HEPG2_24H:M01	PBIOA022_HEPG2_24H:M02	0.7898
CVD001_HEPG2_24H:BRD-A13020530-001-01-7:2.5	CVD001_HEPG2_24H:BRD-A13020530-001-01-7:10	0.3356
