Sample1	Sample2	dose1uM-100uM_time24
DOSBIO002_A375_24H:BRD-A13084692:1.11111	DOSBIO002_A375_24H:BRD-A13084692:10	0.131
DOSVAL002_A375_24H:BRD-A13084692:10	DOSVAL002_A375_24H:BRD-A13084692:20	0.4588
CEGS002_HIMG002_24H:I20	CEGS002_HIMG002_24H:I19	0.6437
KTOX002_HPTEC_24H:BRD-A13084692:10	KTOX002_HPTEC_24H:BRD-A13084692:31.62	0.5107
KTOX002_HPTEC_24H:BRD-A13084692:10	KTOX002_HPTEC_24H:BRD-A13084692:100	0.0594
KTOX002_HPTEC_24H:BRD-A13084692:10	KTOX002_HPTEC_24H:BRD-A13084692:3.16	0.2936
KTOX002_HPTEC_24H:BRD-A13084692:31.62	KTOX002_HPTEC_24H:BRD-A13084692:100	0.223
KTOX002_HPTEC_24H:BRD-A13084692:31.62	KTOX002_HPTEC_24H:BRD-A13084692:3.16	0.089
KTOX002_HPTEC_24H:BRD-A13084692:100	KTOX002_HPTEC_24H:BRD-A13084692:3.16	-0.0337
DOSVAL002_PC3_24H:BRD-A13084692:20	DOSVAL002_PC3_24H:BRD-A13084692:5	0.5292
DOSVAL003_PC3_24H:BRD-A13084692:5	DOSVAL003_PC3_24H:BRD-A13084692:20	0.5054
DOSVAL005_PC3_24H:BRD-A13084692:20	DOSVAL005_PC3_24H:BRD-A13084692:10	0.6183
DOSVAL005_PC3_24H:BRD-A13084692:20	DOSVAL005_PC3_24H:BRD-A13084692:5	0.5467
DOSVAL005_PC3_24H:BRD-A13084692:10	DOSVAL005_PC3_24H:BRD-A13084692:5	0.6321
POL001_PC3_24H:G13	POL001_PC3_24H:G15	0.6829
POL001_PC3_24H:G13	POL001_PC3_24H:G14	0.7044
POL001_PC3_24H:G15	POL001_PC3_24H:G14	0.7156
ASG003_WA09.AST_24H:H05	ASG003_WA09.AST_24H:H04	0.1666
HOG001_A549_24H:BRD-A13122391-001-01-9:1.11	HOG001_A549_24H:BRD-A13122391-001-01-9:3.3333	0.943
CVD001_HEPG2_24H:BRD-A14014306-001-01-1:4.1	CVD001_HEPG2_24H:BRD-A14014306-001-01-1:16.4	0.6395
CVD001_HUH7_24H:BRD-A14014306-001-01-1:4.1	CVD001_HUH7_24H:BRD-A14014306-001-01-1:16.4	0.3173
HOG001_A549_24H:BRD-A15079084-001-02-9:10	HOG001_A549_24H:BRD-A15079084-001-02-9:3.33	0.727
PBIOA008_XC.R10_24H:M06	PBIOA008_XC.R10_24H:M05	0.6015
CVD001_HEPG2_24H:BRD-A15113563-001-01-8:2.5	CVD001_HEPG2_24H:BRD-A15113563-001-01-8:10	0.3318
CVD001_HUH7_24H:BRD-A15113563-001-01-8:10	CVD001_HUH7_24H:BRD-A15113563-001-01-8:2.5	0.5755
AICHI001_OCILY19_24H:I02	AICHI001_OCILY19_24H:I01	0.4863
AICHI001_TMD8_24H:I02	AICHI001_TMD8_24H:I01	0.452
PCL001_A375_24H:BRD-A18497530:10	PCL001_A375_24H:BRD-A18497530:1.11	0.2525
MOA001_A549_24H:I03	MOA001_A549_24H:J03	-0.1449
MOA001_A549_24H:I03	MOA001_A549_24H:I04	0.665
MOA001_A549_24H:J03	MOA001_A549_24H:I04	0.0567
PCL001_A549_24H:BRD-A18497530:10	PCL001_A549_24H:BRD-A18497530:3.33	0.5398
PCL001_HA1E_24H:BRD-A18497530:1.11	PCL001_HA1E_24H:BRD-A18497530:3.33	0.2592
PCL001_HCC515_24H:BRD-A18497530:3.33	PCL001_HCC515_24H:BRD-A18497530:1.11	0.3329
PCL001_HEPG2_24H:BRD-A18497530:1.11	PCL001_HEPG2_24H:BRD-A18497530:10	0.1019
PCL001_HT29_24H:BRD-A18497530:1.11	PCL001_HT29_24H:BRD-A18497530:3.33	0.2939
PCL001_MCF7_24H:BRD-A18497530:10	PCL001_MCF7_24H:BRD-A18497530:3.33	0.6611
PCL001_MCF7_24H:BRD-A18497530:10	PCL001_MCF7_24H:BRD-A18497530:1.11	-0.0473
PCL001_MCF7_24H:BRD-A18497530:3.33	PCL001_MCF7_24H:BRD-A18497530:1.11	0.0541
HOG003_A549_24H:BRD-A18763547-300-04-8:10	HOG003_A549_24H:BRD-A18763547-300-04-8:1.11	0.1852
DOSBIO001_A549_24H:BRD-A19037878:10	DOSBIO001_A549_24H:BRD-A19037878:3.33333	0.9416
DOSBIO001_A549_24H:BRD-A19037878:10	DOSBIO001_A549_24H:BRD-A19037878:1.11111	0.9123
DOSBIO001_A549_24H:BRD-A19037878:3.33333	DOSBIO001_A549_24H:BRD-A19037878:1.11111	0.9171
DOSBIO002_A549_24H:BRD-A19037878:1.11111	DOSBIO002_A549_24H:BRD-A19037878:3.33333	0.9147
DOSVAL006_A549_24H:BRD-A19037878:5	DOSVAL006_A549_24H:BRD-A19037878:20	0.917
AICHI002_K562_24H:M20	AICHI002_K562_24H:M19	0.4114
DOSBIO002_MCF7_24H:BRD-A19037878:1.11111	DOSBIO002_MCF7_24H:BRD-A19037878:10	0.9302
DOSBIO002_MCF7_24H:BRD-A19037878:1.11111	DOSBIO002_MCF7_24H:BRD-A19037878:3.33333	0.9288
DOSBIO002_MCF7_24H:BRD-A19037878:10	DOSBIO002_MCF7_24H:BRD-A19037878:3.33333	0.9465
DOSVAL005_MCF7_24H:BRD-A19037878:5	DOSVAL005_MCF7_24H:BRD-A19037878:10	0.9203
DOSBIO001_PC3_24H:BRD-A19037878:10	DOSBIO001_PC3_24H:BRD-A19037878:1.11111	0.901
DOSBIO002_PC3_24H:BRD-A19037878:3.33333	DOSBIO002_PC3_24H:BRD-A19037878:1.11111	0.9251
DOSBIO002_PC3_24H:BRD-A19037878:3.33333	DOSBIO002_PC3_24H:BRD-A19037878:10	0.9373
DOSBIO002_PC3_24H:BRD-A19037878:1.11111	DOSBIO002_PC3_24H:BRD-A19037878:10	0.9035
LRS001_PHH.MGH_24H:P08	LRS001_PHH.MGH_24H:P07	0.529
AICHI001_THP1_24H:M20	AICHI001_THP1_24H:M19	0.8744
AICHI002_THP1_24H:M20	AICHI002_THP1_24H:M19	0.3148
PBIOA008_XC.R10_24H:L01	PBIOA008_XC.R10_24H:L03	0.854
ERG012_VCAP_24H:K03	ERG012_VCAP_24H:K04	0.9297
LCP001_MCF10A.KRAS.HG_24H:A15	LCP001_MCF10A.KRAS.HG_24H:A13	0.5319
LCP001_MCF10A.KRAS.HG_24H:A15	LCP001_MCF10A.KRAS.HG_24H:A14	0.6734
LCP001_MCF10A.KRAS.HG_24H:A13	LCP001_MCF10A.KRAS.HG_24H:A14	0.8196
LCP001_MCF10A.PIK3CA.HH_24H:A15	LCP001_MCF10A.PIK3CA.HH_24H:A13	0.4521
LCP001_MCF10A.WT_24H:A13	LCP001_MCF10A.WT_24H:A14	0.8735
LCP001_MCF10A.WT_24H:A13	LCP001_MCF10A.WT_24H:A15	0.6558
LCP001_MCF10A.WT_24H:A14	LCP001_MCF10A.WT_24H:A15	0.7643
CPC012_PC3_24H:BRD-A19248578-001-03-7:10	CPC012_PC3_24H:BRD-A19248578-001-02-9:10	0.6619
CRCGN005_A549_24H:BRD-A19500257:6.66667	CRCGN005_A549_24H:BRD-A19500257:2.22	0.8003
DOSBIO002_A549_24H:BRD-A19500257:1.11111	DOSBIO002_A549_24H:BRD-A19500257:3.33333	0.679
DOSBIO002_A549_24H:BRD-A19500257:1.11111	DOSBIO002_A549_24H:BRD-A19500257:10	0.6727
DOSBIO002_A549_24H:BRD-A19500257:3.33333	DOSBIO002_A549_24H:BRD-A19500257:10	0.8713
ERAM001_A549_24H:BRD-A19500257:13.33	ERAM001_A549_24H:BRD-A19500257:2.63	0.8524
ERAM001_A549_24H:BRD-A19500257:13.33	ERAM001_A549_24H:BRD-A19500257:20	0.8669
ERAM001_A549_24H:BRD-A19500257:2.63	ERAM001_A549_24H:BRD-A19500257:20	0.835
ERBB2001_XC_24H:BRD-A19500257:10	ERBB2001_A549_24H:BRD-A19500257:10	0.568
ERBB2002_XC_24H:BRD-A19500257:10	ERBB2002_A549_24H:BRD-A19500257:10	0.5743
DOSBIO002_HT29_24H:BRD-A19500257:10	DOSBIO002_HT29_24H:BRD-A19500257:1.11111	0.8313
DOSBIO002_HT29_24H:BRD-A19500257:10	DOSBIO002_HT29_24H:BRD-A19500257:3.33333	0.9002
DOSBIO002_HT29_24H:BRD-A19500257:1.11111	DOSBIO002_HT29_24H:BRD-A19500257:3.33333	0.8498
DOSBIO002_MCF7_24H:BRD-A19500257:1.11111	DOSBIO002_MCF7_24H:BRD-A19500257:3.33333	0.894
DOSBIO002_MCF7_24H:BRD-A19500257:1.11111	DOSBIO002_MCF7_24H:BRD-A19500257:10	0.8879
DOSBIO002_MCF7_24H:BRD-A19500257:3.33333	DOSBIO002_MCF7_24H:BRD-A19500257:10	0.886
LJP005_MCF7_24H:O02	LJP005_MCF7_24H:O01	0.5964
PCLB003_MCF7_24H:BRD-A19500257-001-01-3:10	PCLB003_MCF7_24H:BRD-A19500257-001-01-3:1.11	0.7881
DOSBIO001_NPC_24H:BRD-A19500257:3.33333	DOSBIO001_NPC_24H:BRD-A19500257:1.11111	0.7501
DOSBIO002_NPC_24H:BRD-A19500257:1.11111	DOSBIO002_NPC_24H:BRD-A19500257:3.33333	0.799
DOSBIO002_NPC_24H:BRD-A19500257:1.11111	DOSBIO002_NPC_24H:BRD-A19500257:10	0.7197
DOSBIO002_NPC_24H:BRD-A19500257:3.33333	DOSBIO002_NPC_24H:BRD-A19500257:10	0.8796
DOSBIO001_PC3_24H:BRD-A19500257:1.11111	DOSBIO001_PC3_24H:BRD-A19500257:3.33333	0.8092
DOSBIO001_PC3_24H:BRD-A19500257:1.11111	DOSBIO001_PC3_24H:BRD-A19500257:10	0.8386
DOSBIO001_PC3_24H:BRD-A19500257:3.33333	DOSBIO001_PC3_24H:BRD-A19500257:10	0.8364
DOSBIO002_PC3_24H:BRD-A19500257:10	DOSBIO002_PC3_24H:BRD-A19500257:1.11111	0.7819
ERG010_VCAP_24H:BRD-A19500257-001-01-3:2	ERG010_VCAP_24H:BRD-A19500257-001-01-3:10	0.7428
HOG001_A549_24H:BRD-A19633847-050-20-6:10	HOG001_A549_24H:BRD-A19633847-050-20-6:3.33	0.2846
REP.A004_HELA_24H:F02	REP.A004_HELA_24H:F01	0.3893
KTOX002_HPTEC_24H:BRD-A21478517:31.6	KTOX002_HPTEC_24H:BRD-A21478517:3.2	0.4511
KTOX002_HPTEC_24H:BRD-A21478517:31.6	KTOX002_HPTEC_24H:BRD-A21478517:10	0.7329
KTOX002_HPTEC_24H:BRD-A21478517:31.6	KTOX002_HPTEC_24H:BRD-A21478517:100	0.6317
KTOX002_HPTEC_24H:BRD-A21478517:31.6	KTOX002_HPTEC_24H:BRD-A21478517:1	0.1603
KTOX002_HPTEC_24H:BRD-A21478517:3.2	KTOX002_HPTEC_24H:BRD-A21478517:10	0.6044
KTOX002_HPTEC_24H:BRD-A21478517:3.2	KTOX002_HPTEC_24H:BRD-A21478517:100	0.2841
KTOX002_HPTEC_24H:BRD-A21478517:3.2	KTOX002_HPTEC_24H:BRD-A21478517:1	0.4007
KTOX002_HPTEC_24H:BRD-A21478517:10	KTOX002_HPTEC_24H:BRD-A21478517:100	0.3894
KTOX002_HPTEC_24H:BRD-A21478517:10	KTOX002_HPTEC_24H:BRD-A21478517:1	0.3015
KTOX002_HPTEC_24H:BRD-A21478517:100	KTOX002_HPTEC_24H:BRD-A21478517:1	0.0919
KTOX002_HPTEC_24H:BRD-A22068566:10	KTOX002_HPTEC_24H:BRD-A22068566:31.6	0.9339
KTOX002_HPTEC_24H:BRD-A22068566:10	KTOX002_HPTEC_24H:BRD-A22068566:3.2	0.8629
KTOX002_HPTEC_24H:BRD-A22068566:31.6	KTOX002_HPTEC_24H:BRD-A22068566:3.2	0.8562
CRCGN010_HEPG2_24H:BRD-A23637604:20.2	CRCGN010_HEPG2_24H:BRD-A23637604:40.4	0.3612
KTOX002_HPTEC_24H:BRD-A23723433:31.6	KTOX002_HPTEC_24H:BRD-A23723433:3.2	0.1784
KTOX002_HPTEC_24H:BRD-A23723433:31.6	KTOX002_HPTEC_24H:BRD-A23723433:100	0.3701
KTOX002_HPTEC_24H:BRD-A23723433:3.2	KTOX002_HPTEC_24H:BRD-A23723433:100	0.0512
CRCGN015_MCF10A.WT.HP_24H:BRD-A24186493:100.297	CRCGN015_MCF10A.WT.HP_24H:BRD-A24186493:33.4324	0.7665
CRCGN015_MCF10A.WT.HP_24H:BRD-A24186493:100.297	CRCGN015_MCF10A.WT.HP_24H:BRD-A24186493:11.1441	0.3323
CRCGN015_MCF10A.WT.HP_24H:BRD-A24186493:33.4324	CRCGN015_MCF10A.WT.HP_24H:BRD-A24186493:11.1441	0.4883
LJP006_HA1E_24H:G08	LJP006_HA1E_24H:G09	0.4442
LJP006_HS578T_24H:G08	LJP006_HS578T_24H:G09	0.4548
LJP006_MCF10A_24H:G09	LJP006_MCF10A_24H:G08	0.5005
LJP002_MDAMB231_24H:BRD-A24396574-001-02-3:2	LJP002_MDAMB231_24H:BRD-A24396574-001-02-3:10	0.1734
LJP006_PC3_24H:G07	LJP006_PC3_24H:G09	0.0666
LJP006_PC3_24H:G07	LJP006_PC3_24H:G08	0.2811
LJP006_PC3_24H:G09	LJP006_PC3_24H:G08	0.4059
LJP006_SKBR3_24H:G08	LJP006_SKBR3_24H:G09	0.5463
PCLB003_PC3_24H:BRD-A25004090-001-06-8:10	PCLB003_PC3_24H:BRD-A25004090-001-06-8:1.11	0.1363
MOAR002_A375_24H:N08	MOAR002_A375_24H:N07	0.7379
MOAR002_PC3_24H:N08	MOAR002_PC3_24H:N07	0.5524
LRS001_PHH.MGH_24H:E17	LRS001_PHH.MGH_24H:E18	0.8935
PBIOA010_XC.L10_24H:L23	PBIOA010_XC.L10_24H:L22	0.6038
PBIOA010_XC.R10_24H:L22	PBIOA010_XC.R10_24H:L23	0.5748
LJP007_ASC.C_24H:K21	LJP007_ASC.C_24H:K19	0.3354
LJP007_NPC.TAK_24H:K19	LJP007_NPC.TAK_24H:K21	0.5007
MOAR003_A375_24H:F17	MOAR003_A375_24H:F16	0.7904
MOAR003_A375_24H:F17	MOAR003_A375_24H:F18	0.8658
MOAR003_A375_24H:F16	MOAR003_A375_24H:F18	0.7049
MOAR007_A375_24H:E19	MOAR007_A375_24H:E20	0.7995
MOAR007_A375_24H:E19	MOAR007_A375_24H:E21	0.738
MOAR007_A375_24H:E20	MOAR007_A375_24H:E21	0.896
REP.A001_A375_24H:G03	REP.A001_A375_24H:G02	0.8197
REP.A001_A375_24H:G03	REP.A001_A375_24H:G01	0.6246
REP.A001_A375_24H:G02	REP.A001_A375_24H:G01	0.7154
REP.A001_HA1E_24H:G03	REP.A001_HA1E_24H:G02	0.7884
REP.A001_HELA_24H:G02	REP.A001_HELA_24H:G03	0.7997
MOAR007_PC3_24H:E19	MOAR007_PC3_24H:E21	0.5904
REP.A001_PC3_24H:G02	REP.A001_PC3_24H:G03	0.7953
REP.A001_PC3_24H:G02	REP.A001_PC3_24H:G01	0.6635
REP.A001_PC3_24H:G03	REP.A001_PC3_24H:G01	0.5291
REP.A001_XC.L10_24H:G03	REP.A001_XC.L10_24H:G02	0.7788
REP.A001_YAPC_24H:G01	REP.A001_YAPC_24H:G02	0.6585
REP.A001_YAPC_24H:G01	REP.A001_YAPC_24H:G03	0.458
REP.A001_YAPC_24H:G02	REP.A001_YAPC_24H:G03	0.5243
POL001_HEPG2_24H:H01	POL001_HEPG2_24H:H03	0.2051
POL001_HEPG2_24H:H01	POL001_HEPG2_24H:H02	0.274
POL001_HEPG2_24H:H03	POL001_HEPG2_24H:H02	0.914
POL001_HT29_24H:H02	POL001_HT29_24H:H01	0.6434
POL001_HT29_24H:H02	POL001_HT29_24H:H03	0.9274
POL001_HT29_24H:H01	POL001_HT29_24H:H03	0.5726
POL001_JURKAT_24H:H03	POL001_JURKAT_24H:H02	0.696
HOG001_MCF7_24H:BRD-A28105619-001-01-3:3.33	HOG001_MCF7_24H:BRD-A28105619-001-01-3:10	0.7633
HOG001_MCF7_24H:BRD-A28105619-001-01-3:3.33	HOG001_MCF7_24H:BRD-A28105619-001-01-3:1.11	0.8318
HOG001_MCF7_24H:BRD-A28105619-001-01-3:10	HOG001_MCF7_24H:BRD-A28105619-001-01-3:1.11	0.6445
POL001_MCF7_24H:H01	POL001_MCF7_24H:H03	0.3906
POL001_MCF7_24H:H01	POL001_MCF7_24H:H02	0.4588
POL001_MCF7_24H:H03	POL001_MCF7_24H:H02	0.917
POL001_PC3_24H:H03	POL001_PC3_24H:H01	0.233
POL001_PC3_24H:H03	POL001_PC3_24H:H02	0.9311
POL001_PC3_24H:H01	POL001_PC3_24H:H02	0.3178
REP.A001_A375_24H:I02	REP.A001_A375_24H:I01	0.8574
REP.A001_A375_24H:I02	REP.A001_A375_24H:I03	0.8359
REP.A001_A375_24H:I01	REP.A001_A375_24H:I03	0.7932
REP.A001_HA1E_24H:I02	REP.A001_HA1E_24H:I01	0.8219
REP.A001_HELA_24H:I03	REP.A001_HELA_24H:I02	0.8518
REP.A001_HELA_24H:I03	REP.A001_HELA_24H:I01	0.5445
REP.A001_HELA_24H:I02	REP.A001_HELA_24H:I01	0.6187
REP.A001_HT29_24H:I02	REP.A001_HT29_24H:I03	0.6707
REP.A001_XC.L10_24H:I02	REP.A001_XC.L10_24H:I01	0.7033
REP.A001_YAPC_24H:I02	REP.A001_YAPC_24H:I01	0.7489
LJP009_JURKAT_24H:O07	LJP009_JURKAT_24H:O08	0.2649
KTOX002_HPTEC_24H:BRD-A30437061:3.16	KTOX002_HPTEC_24H:BRD-A30437061:100	0.8996
KTOX002_HPTEC_24H:BRD-A30437061:3.16	KTOX002_HPTEC_24H:BRD-A30437061:1	0.8265
KTOX002_HPTEC_24H:BRD-A30437061:100	KTOX002_HPTEC_24H:BRD-A30437061:1	0.7929
MOAR003_A375_24H:J02	MOAR003_A375_24H:J01	0.3851
POL001_PC3_24H:D15	POL001_PC3_24H:D14	0.9521
POL001_PC3_24H:D15	POL001_PC3_24H:D13	0.9651
POL001_PC3_24H:D14	POL001_PC3_24H:D13	0.9562
CEGS001_NPC.170_24H:D08	CEGS001_NPC.170_24H:D07	0.1645
REP.A011_HELA_24H:P19	REP.A011_HELA_24H:P20	0.3884
PCLB001_A375_24H:O21	PCLB001_A375_24H:O13	0.6827
KTOX002_HPTEC_24H:BRD-A35108200:100	KTOX002_HPTEC_24H:BRD-A35108200:31.6	0.3582
HOG002_A549_24H:BRD-A35588707-001-04-8:10	HOG002_A549_24H:BRD-A35588707-001-04-8:1.11	0.6966
ASG003_XC.P091_24H:J07	ASG003_XC.P091_24H:J08	0.32
ASG003_XC.P905_24H:J08	ASG003_XC.P905_24H:J07	0.182
ASG003_XC.P930_24H:J08	ASG003_XC.P930_24H:J07	0.4462
PBIOA013_A549_24H:G08	PBIOA013_A549_24H:G07	0.6764
PBIOA013_HEPG2_24H:G08	PBIOA013_HEPG2_24H:G09	0.4376
PBIOA013_HT29_24H:G07	PBIOA013_HT29_24H:G08	0.6975
PBIOA013_PC3_24H:G08	PBIOA013_PC3_24H:G07	0.4888
PCLB003_PC3_24H:BRD-A36275421-001-06-1:10	PCLB003_PC3_24H:BRD-A36275421-001-06-1:3.33	0.216
PBIOA011_XC.R10_24H:H23	PBIOA011_XC.R10_24H:H22	0.6203
MOAR003_A375_24H:H07	MOAR003_A375_24H:H09	0.7092
MOAR003_A375_24H:H07	MOAR003_A375_24H:H08	0.891
MOAR003_A375_24H:H09	MOAR003_A375_24H:H08	0.8775
REP.A003_A375_24H:O08	REP.A003_A375_24H:O09	0.8786
REP.A003_HA1E_24H:O08	REP.A003_HA1E_24H:O09	0.9327
REP.A003_YAPC_24H:O09	REP.A003_YAPC_24H:O08	0.9081
CVD001_HUH7_24H:BRD-A36411721-001-01-0:14.3	CVD001_HUH7_24H:BRD-A36411721-001-01-0:3.575	0.3573
HOG001_A549_24H:BRD-A36630025-001-02-6:11.1	HOG001_A549_24H:BRD-A36630025-001-02-6:3.7	0.9155
HOG001_MCF7_24H:BRD-A36630025-001-02-6:11.1	HOG001_MCF7_24H:BRD-A36630025-001-02-6:1.2333	0.4123
HOG001_MCF7_24H:BRD-A36630025-001-02-6:11.1	HOG001_MCF7_24H:BRD-A36630025-001-02-6:3.7	0.7112
HOG001_MCF7_24H:BRD-A36630025-001-02-6:1.2333	HOG001_MCF7_24H:BRD-A36630025-001-02-6:3.7	0.6919
ASG003_A549_24H:O19	ASG003_A549_24H:O20	0.3013
ASG003_WA09.AST_24H:O20	ASG003_WA09.AST_24H:O19	0.1065
ASG003_XC.P901_24H:O20	ASG003_XC.P901_24H:O19	0.3955
ASG003_XC.P931_24H:O20	ASG003_XC.P931_24H:O19	0.3315
LJP009_CD34_24H:G08	LJP009_CD34_24H:G07	0.4216
CVD001_PHH_24H:BRD-A37828317-001-03-0:10	CVD001_PHH_24H:BRD-A37828317-001-03-0:2.5	0.2453
KTOX002_HPTEC_24H:BRD-A38479395:100	KTOX002_HPTEC_24H:BRD-A38479395:3.2	0.2933
KTOX002_HPTEC_24H:BRD-A38479395:100	KTOX002_HPTEC_24H:BRD-A38479395:31.6	0.7751
KTOX002_HPTEC_24H:BRD-A38479395:3.2	KTOX002_HPTEC_24H:BRD-A38479395:31.6	0.5197
PBIOA006_XC.R10_24H:D19	PBIOA006_XC.R10_24H:D20	0.5989
REP.A014_HA1E_24H:N19	REP.A014_HA1E_24H:N20	0.5172
REP.A014_HEK293_24H:N19	REP.A014_HEK293_24H:N20	0.7567
LUNG001_1HAE_24H:BRD-A39996500:10	LUNG001_1HAE_24H:BRD-A39996500:3.33	0.5013
ERBB2001_XC_24H:BRD-A39996500:10	ERBB2001_A549_24H:BRD-A39996500:10	0.5214
ERBB2002_XC_24H:BRD-A39996500:10	ERBB2002_A549_24H:BRD-A39996500:10	0.5424
LJP005_BT20_24H:K07	LJP005_BT20_24H:K08	0.555
LJP005_HA1E_24H:K08	LJP005_HA1E_24H:K07	0.3743
LJP005_HA1E_24H:K08	LJP005_HA1E_24H:K09	0.6693
LJP005_HA1E_24H:K07	LJP005_HA1E_24H:K09	0.1536
LJP006_HA1E_24H:K07	LJP006_HA1E_24H:K09	0.178
LJP006_HA1E_24H:K07	LJP006_HA1E_24H:K08	0.3347
LJP006_HA1E_24H:K09	LJP006_HA1E_24H:K08	0.7015
LJP005_HCC515_24H:K07	LJP005_HCC515_24H:K08	0.692
LUNG001_HFL1_24H:BRD-A39996500:10	LUNG001_HFL1_24H:BRD-A39996500:1.11	0.2405
LUNG001_HFL1_24H:BRD-A39996500:10	LUNG001_HFL1_24H:BRD-A39996500:3.33	0.4719
LUNG001_HFL1_24H:BRD-A39996500:1.11	LUNG001_HFL1_24H:BRD-A39996500:3.33	0.3834
LJP006_HS578T_24H:K09	LJP006_HS578T_24H:K08	0.527
LJP006_HS578T_24H:K09	LJP006_HS578T_24H:K07	0.3816
LJP006_HS578T_24H:K08	LJP006_HS578T_24H:K07	0.6781
LJP006_MCF10A_24H:K07	LJP006_MCF10A_24H:K08	0.609
LJP005_MCF7_24H:K09	LJP005_MCF7_24H:K08	0.7517
LJP005_MCF7_24H:K09	LJP005_MCF7_24H:K07	0.531
LJP005_MCF7_24H:K08	LJP005_MCF7_24H:K07	0.7654
LJP006_PC3_24H:K09	LJP006_PC3_24H:K07	0.4815
LJP006_PC3_24H:K09	LJP006_PC3_24H:K08	0.7063
LJP006_PC3_24H:K07	LJP006_PC3_24H:K08	0.65
LJP005_SKBR3_24H:K07	LJP005_SKBR3_24H:K08	0.5306
LJP006_SKBR3_24H:K08	LJP006_SKBR3_24H:K07	0.4793
LJP006_SKBR3_24H:K08	LJP006_SKBR3_24H:K09	0.6336
LJP006_SKBR3_24H:K07	LJP006_SKBR3_24H:K09	0.2827
ERG005_VCAP_24H:BRD-A39996500-001-01-4:20	ERG005_VCAP_24H:BRD-A39996500-001-01-4:1	0.5064
LUNG001_WI38_24H:BRD-A39996500:10	LUNG001_WI38_24H:BRD-A39996500:3.33	0.5528
PBIOA008_XC.L10_24H:I16	PBIOA008_XC.L10_24H:I17	0.6668
PBIOA008_XC.L10_24H:I16	PBIOA008_XC.L10_24H:I18	0.5529
PBIOA008_XC.L10_24H:I17	PBIOA008_XC.L10_24H:I18	0.7114
