Sample1	Sample2	dose0.01uM-1uM_time24
HOG002_MCF7_24H:BRD-A61304759-001-01-0:0.0412	HOG002_MCF7_24H:BRD-A61304759-001-01-0:0.1235	0.6822
TAA001_SKNSH_24H:K10	TAA001_SKNSH_24H:K11	0.7816
EMU001_TMD8_24H:G15	EMU001_TMD8_24H:G16	0.4144
ISO002_MCF10A.EGFR.HL_24H:C18	ISO002_MCF10A.EGFR.HL_24H:C17	0.4078
REP.A018_A375_24H:N10	REP.A018_A375_24H:N11	0.8394
REP.A018_A375_24H:N10	REP.A018_A375_24H:N12	0.5425
REP.A018_A375_24H:N11	REP.A018_A375_24H:N12	0.6331
REP.A018_HA1E_24H:N10	REP.A018_HA1E_24H:N11	0.9167
REP.A018_HA1E_24H:N10	REP.A018_HA1E_24H:N12	0.7884
REP.A018_HA1E_24H:N11	REP.A018_HA1E_24H:N12	0.8598
REP.A018_YAPC_24H:N11	REP.A018_YAPC_24H:N12	0.5289
REP.A008_A375_24H:A10	REP.A008_A375_24H:A11	0.8697
REP.A008_A375_24H:A10	REP.A008_A375_24H:A12	0.6471
REP.A008_A375_24H:A11	REP.A008_A375_24H:A12	0.8402
REP.A008_HA1E_24H:A10	REP.A008_HA1E_24H:A11	0.8274
REP.A008_HA1E_24H:A10	REP.A008_HA1E_24H:A12	0.6448
REP.A008_HA1E_24H:A11	REP.A008_HA1E_24H:A12	0.7881
POL001_HEPG2_24H:N04	POL001_HEPG2_24H:N05	0.8607
POL001_HEPG2_24H:N04	POL001_HEPG2_24H:N06	0.6959
POL001_HEPG2_24H:N05	POL001_HEPG2_24H:N06	0.7957
POL001_JURKAT_24H:N04	POL001_JURKAT_24H:N06	0.5099
POL001_MCF7_24H:N05	POL001_MCF7_24H:N04	0.8473
POL001_PC3_24H:N06	POL001_PC3_24H:N05	0.4013
POL001_PC3_24H:N06	POL001_PC3_24H:N04	0.2495
POL001_PC3_24H:N05	POL001_PC3_24H:N04	0.5927
REP.A008_YAPC_24H:A11	REP.A008_YAPC_24H:A10	0.5955
PCLB002_A375_24H:BRD-A70731303:0.12	PCLB002_A375_24H:BRD-A70731303:0.04	0.4482
HOG003_A549_24H:BRD-A71390734-001-01-7:0.3704	HOG003_A549_24H:BRD-A71390734-001-01-7:0.1234	0.7932
HOG003_A549_24H:BRD-A71390734-001-01-7:0.3704	HOG003_A549_24H:BRD-A71390734-001-01-7:0.0412	0.5711
HOG003_A549_24H:BRD-A71390734-001-01-7:0.1234	HOG003_A549_24H:BRD-A71390734-001-01-7:0.0412	0.7775
LUNG001_IMR90_24H:BRD-A75409952:0.12	LUNG001_IMR90_24H:BRD-A75409952:0.37	0.6808
ISO002_MCF10A.EGFR.HL_24H:F06	ISO002_MCF10A.EGFR.HL_24H:F04	0.4958
ISO002_HCT116.WT_24H:A17	ISO002_HCT116.WT_24H:A18	0.4481
HOG001_A549_24H:BRD-A85860691-001-02-2:0.3704	HOG001_A549_24H:BRD-A85860691-001-02-2:0.1234	0.5333
HOG001_MCF7_24H:BRD-A85860691-001-02-2:0.3704	HOG001_MCF7_24H:BRD-A85860691-001-02-2:0.1234	0.5309
PCL001_HT29_24H:BRD-A89859721:0.12	PCL001_HT29_24H:BRD-A89859721:0.04	0.6545
REP.A027_A375_24H:E11	REP.A027_A375_24H:E10	0.7531
REP.A027_HT29_24H:E10	REP.A027_HT29_24H:E11	0.7495
REP.A027_MCF10A_24H:E10	REP.A027_MCF10A_24H:E11	0.627
PBIOA018_HEPG2_24H:I22	PBIOA018_HEPG2_24H:I24	0.6961
PBIOA018_HT29_24H:I22	PBIOA018_HT29_24H:I23	0.7881
LJP006_SKBR3_24H:P10	LJP006_SKBR3_24H:P11	0.2579
PCLB002_HCC515_24H:BRD-K01877528:0.04	PCLB002_HCC515_24H:BRD-K01877528:0.12	0.662
PBIOA022_A375_24H:H17	PBIOA022_A375_24H:H18	0.8158
PBIOA022_HA1E_24H:H16	PBIOA022_HA1E_24H:H18	0.7764
PBIOA022_MCF7_24H:H17	PBIOA022_MCF7_24H:H18	0.8166
PBIOA019_A375_24H:M22	PBIOA019_A375_24H:M23	0.497
LJP007_ASC.C_24H:K11	LJP007_ASC.C_24H:K10	0.6661
LJP009_HME1_24H:K11	LJP009_HME1_24H:K10	0.8646
MOAR019_A375_24H:M23	MOAR019_A375_24H:M11	0.5531
PBIOA022_A375_24H:D12	PBIOA022_A375_24H:D11	0.3929
PBIOA014_A549_24H:L06	PBIOA014_A549_24H:L05	0.3846
HOG003_A549_24H:BRD-K06792661-001-01-9:0.1235	HOG003_A549_24H:BRD-K06792661-001-01-9:0.3704	0.6273
POL001_HEPG2_24H:C04	POL001_HEPG2_24H:C05	0.8524
POL001_HT29_24H:C04	POL001_HT29_24H:C06	0.4326
POL001_JURKAT_24H:C04	POL001_JURKAT_24H:C05	0.7976
POL001_JURKAT_24H:C04	POL001_JURKAT_24H:C06	0.5874
POL001_JURKAT_24H:C05	POL001_JURKAT_24H:C06	0.6937
HOG003_MCF7_24H:BRD-K06792661-001-01-9:0.1235	HOG003_MCF7_24H:BRD-K06792661-001-01-9:0.3704	0.6314
POL001_MCF7_24H:C06	POL001_MCF7_24H:C04	0.2498
POL001_MCF7_24H:C06	POL001_MCF7_24H:C05	0.3284
POL001_MCF7_24H:C04	POL001_MCF7_24H:C05	0.6731
POL001_PC3_24H:C04	POL001_PC3_24H:C05	0.7716
HOG001_MCF7_24H:BRD-K06854232-001-03-3:0.1235	HOG001_MCF7_24H:BRD-K06854232-001-03-3:0.0412	0.5945
REP.A011_PC3_24H:N11	REP.A011_PC3_24H:N10	0.6639
MOAR019_A375_24H:G24	MOAR019_A375_24H:G12	0.4772
